, DistFront,92.62, DistDow,103.47, DistUp,246.05
, DistFront,100.85, DistDow,105.26, DistUp,246.82
, DistFront,100.39, DistDow,100.85, DistUp,3188.83
, DistFront,87.87, DistDow,103.67, DistUp,247.74
, DistFront,88.91, DistDow,105.41, DistUp,246.92
, DistFront,91.9, DistDow,101.97, DistUp,247.82
, DistFront,97.53, DistDow,106.96, DistUp,3182.16
, DistFront,100.97, DistDow,105.73, DistUp,3158.25
, DistFront,99.97, DistDow,99.83, DistUp,3194.49
, DistFront,99.71, DistDow,102.98, DistUp,111.53
, DistFront,100.68, DistDow,101.82, DistUp,3.64
, DistFront,100.66, DistDow,103.06, DistUp,3.76
, DistFront,99.88, DistDow,100.9, DistUp,3.76
, DistFront,98.55, DistDow,103.95, DistUp,3.76
, DistFront,100.34, DistDow,102.19, DistUp,3202.18
, DistFront,97.16, DistDow,100.1, DistUp,3222.09
, DistFront,100.54, DistDow,102.47, DistUp,3172.64
, DistFront,100.39, DistDow,101.68, DistUp,3154.1
, DistFront,98.47, DistDow,98.74, DistUp,3182.33
, DistFront,82.99, DistDow,134.54, DistUp,3176.89
, DistFrontMean,81.28, DistDowMean,78.47, DistUpMean,3.67
, DistFront,80.41, DistDow,78.52, DistUp,3165.85
, DistFront,83.32, DistDow,80.61, DistUp,3184.78
, DistFront,100.54, DistDow,102.6, DistUp,100.41
, DistFront,3244.03, DistDow,3201.45, DistUp,3.76
, DistFront,203.38, DistDow,3215.24, DistUp,243.16
, DistFront,4.12, DistDow,89.69, DistUp,243.49
, DistFront,4.13, DistDow,103.25, DistUp,243.64
, DistFront,104.54, DistDow,88.95, DistUp,244.27
, DistFront,97.87, DistDow,103.67, DistUp,243.1
, DistFront,4.54, DistDow,85.19, DistUp,244.1
, DistFront,104.05, DistDow,105.39, DistUp,243.35
, DistFront,110.39, DistDow,107.7, DistUp,243.83
, DistFront,3342.48, DistDow,153.23, DistUp,243.59
alberto,,,,,,
, DistFront, 121.73, DistDow, 3239.63, DistUp, 443.33
, DistFront, 121.82, DistDow, 3212.24, DistUp, 444.18
, DistFront, 121.77, DistDow, 129.95, DistUp, 443.33
, DistFront, 123.04, DistDow, 130.68, DistUp, 443.67
, DistFront, 121.34, DistDow, 131.96, DistUp, 445.92
, DistFront, 121.85, DistDow, 128.55, DistUp, 294.13
, DistFront, 123.62, DistDow, 126.96, DistUp, 292.93
, DistFront, 122.70, DistDow, 126.99, DistUp, 295.03
, DistFront, 122.41, DistDow, 128.18, DistUp, 378.18
, DistFront, 121.55, DistDow, 130.83, DistUp, 293.13
, DistFront, 122.87, DistDow, 128.40, DistUp, 295.14
, DistFront, 122.45, DistDow, 129.17, DistUp, 293.88
, DistFront, 123.71, DistDow, 126.56, DistUp, 444.23
, DistFront, 123.25, DistDow, 128.25, DistUp, 445.05
, DistFront, 121.90, DistDow, 129.56, DistUp, 445.85
, DistFront, 122.24, DistDow, 123.89, DistUp, 297.35
, DistFront, 121.80, DistDow, 125.56, DistUp, 294.00
, DistFront, 121.67, DistDow, 123.84, DistUp, 292.77
, DistFront, 122.16, DistDow, 122.91, DistUp, 445.34
, DistFront, 122.18, DistDow, 123.78, DistUp, 444.35
, DistFrontMean, 122.28, DistDowMean, 123.11, DistUpMean, 444.18
, DistFront, 122.18, DistDow, 122.02, DistUp, 303.47
, DistFront, 121.70, DistDow, 124.25, DistUp, 302.21
