, DistFront,233.11, DistDow,235.82, DistUp,233.84
, DistFront,234.39, DistDow,234.91, DistUp,235.56
, DistFront,234.05, DistDow,234.85, DistUp,234.3
, DistFront,234.03, DistDow,235.46, DistUp,235.26
, DistFront,234.35, DistDow,234.88, DistUp,234.3
, DistFront,234.47, DistDow,234.56, DistUp,235.54
, DistFront,234.42, DistDow,235.43, DistUp,234.39
, DistFront,233.91, DistDow,235.31, DistUp,234.27
, DistFront,234.47, DistDow,234.98, DistUp,234.27
, DistFront,233.91, DistDow,235.02, DistUp,234.39
, DistFront,234.34, DistDow,235.37, DistUp,235.56
, DistFront,234.05, DistDow,236.6, DistUp,233.83
, DistFront,234.46, DistDow,235.43, DistUp,233.98
, DistFront,233.98, DistDow,235.31, DistUp,233.88
, DistFront,234.34, DistDow,234.42, DistUp,233.42
, DistFront,233.64, DistDow,236.31, DistUp,233.95
, DistFront,233.06, DistDow,235.77, DistUp,234.71
, DistFront,233.59, DistDow,235.46, DistUp,234.39
, DistFront,233.95, DistDow,234.52, DistUp,235.14
, DistFront,234.05, DistDow,234.12, DistUp,233.95
, DistFrontMean,233.06, DistDowMean,234.03, DistUpMean,233.4
, DistFront,234.46, DistDow,235.43, DistUp,233.49
, DistFront,233.55, DistDow,235.31, DistUp,233.42
, DistFront,233.61, DistDow,235.43, DistUp,234.39
, DistFront,234.34, DistDow,234.47, DistUp,233.38
, DistFront,233.2, DistDow,235.03, DistUp,233.96
, DistFront,233.52, DistDow,234.9, DistUp,233.83
, DistFront,233.62, DistDow,234.56, DistUp,234.42
, DistFront,233.95, DistDow,235.78, DistUp,234.27
, DistFront,233.2, DistDow,234.97, DistUp,233.95
, DistFront,234.35, DistDow,234.9, DistUp,233.42
, DistFront,233.2, DistDow,235.03, DistUp,234.69
, DistFront,233.52, DistDow,234.03, DistUp,234.3
, DistFront,233.16, DistDow,234.56, DistUp,234.35
, DistFront,233.91, DistDow,234.42, DistUp,233.83
, DistFront,234.1, DistDow,234.97, DistUp,233.95
, DistFront,233.45, DistDow,234.4, DistUp,233.88
, DistFront,233.62, DistDow,236.17, DistUp,234.68
, DistFront,234.46, DistDow,234.95, DistUp,233.47
, DistFront,234.34, DistDow,234.9, DistUp,233.4
, DistFront,233.98, DistDow,234.98, DistUp,233.91
, DistFrontMean,234.35, DistDowMean,234.4, DistUpMean,233.4
, DistFront,233.16, DistDow,236.31, DistUp,233.06
, DistFront,232.64, DistDow,234.88, DistUp,233.84
, DistFront,233.49, DistDow,235.32, DistUp,233.52
, DistFront,233.61, DistDow,234.54, DistUp,233.47
, DistFront,233.49, DistDow,234.4, DistUp,234.27
, DistFront,235.27, DistDow,234.4, DistUp,233.83
, DistFront,233.49, DistDow,234.91, DistUp,233.95
, DistFront,233.91, DistDow,235.27, DistUp,233.38
, DistFront,233.98, DistDow,235.41, DistUp,234.35
, DistFront,233.47, DistDow,234.4, DistUp,233.81
, DistFront,234.03, DistDow,234.97, DistUp,234.35
, DistFront,233.91, DistDow,234.85, DistUp,233.83
, DistFront,233.18, DistDow,235.41, DistUp,234.35
, DistFront,233.89, DistDow,236.17, DistUp,234.68
, DistFront,233.95, DistDow,235.75, DistUp,234.25
, DistFront,234.42, DistDow,235.39, DistUp,234.34
, DistFront,234.35, DistDow,235.78, DistUp,235.68
, DistFront,233.89, DistDow,235.27, DistUp,234.83
, DistFront,233.88, DistDow,234.85, DistUp,234.27
, DistFront,233.61, DistDow,234.97, DistUp,234.35
, DistFrontMean,234.34, DistDowMean,234.85, DistUpMean,234.25
, DistFront,234.42, DistDow,235.83, DistUp,234.76
, DistFront,233.11, DistDow,234.81, DistUp,234.68
, DistFront,235.61, DistDow,235.26, DistUp,233.81
, DistFront,233.13, DistDow,234.95, DistUp,233.88
, DistFront,233.47, DistDow,235.27, DistUp,234.23
, DistFront,234, DistDow,234.52, DistUp,235.24
, DistFront,235.14, DistDow,234.42, DistUp,234.2
, DistFront,233.59, DistDow,235.39, DistUp,234.66
, DistFront,233.96, DistDow,234.06, DistUp,234.32
, DistFront,233.45, DistDow,233.96, DistUp,234.2
, DistFront,234.42, DistDow,235.83, DistUp,233.89
, DistFront,233.91, DistDow,235.26, DistUp,233.83
, DistFront,234, DistDow,235.26, DistUp,234.25
, DistFront,234, DistDow,235.02, DistUp,233.91
, DistFront,233.18, DistDow,235.73, DistUp,233.83
, DistFront,233.91, DistDow,234.85, DistUp,233.98
, DistFront,233.61, DistDow,234.97, DistUp,234.81
, DistFront,233.91, DistDow,234.85, DistUp,233.42
, DistFront,233.62, DistDow,235.41, DistUp,233.52
, DistFront,233.96, DistDow,234.88, DistUp,234.27
, DistFrontMean,234.4, DistDowMean,235.43, DistUpMean,234.78
, DistFront,233.64, DistDow,235.75, DistUp,233.81
, DistFront,233.52, DistDow,235.78, DistUp,233.47
, DistFront,234.05, DistDow,235.77, DistUp,234.25
, DistFront,233.52, DistDow,234.88, DistUp,233.4
, DistFront,233.61, DistDow,234.52, DistUp,233.52
, DistFront,233.06, DistDow,234.46, DistUp,233.81
, DistFront,234.05, DistDow,234.1, DistUp,234.78
, DistFront,233.91, DistDow,235.32, DistUp,233.35
, DistFront,233.59, DistDow,234.97, DistUp,233.95
, DistFront,233.49, DistDow,234.4, DistUp,235.12
, DistFront,234.06, DistDow,234.97, DistUp,233.52
, DistFront,233.18, DistDow,234.9, DistUp,234.27
, DistFront,233.91, DistDow,233.98, DistUp,234.35
, DistFront,233.23, DistDow,235.41, DistUp,234.25
, DistFront,233.49, DistDow,235.32, DistUp,234.27
, DistFront,234.46, DistDow,234.52, DistUp,234.83
, DistFront,234.35, DistDow,234.42, DistUp,233.83
, DistFront,234.46, DistDow,235.85, DistUp,235.12
, DistFront,234.4, DistDow,235.37, DistUp,234.81
, DistFront,235.27, DistDow,236.19, DistUp,234.27
, DistFrontMean,234.95, DistDowMean,234.98, DistUpMean,234.83
, DistFront,233.11, DistDow,235.34, DistUp,234.3
, DistFront,234.05, DistDow,236.77, DistUp,234.81
, DistFront,233.52, DistDow,234.91, DistUp,234.3
, DistFront,233.62, DistDow,235.46, DistUp,233.96
, DistFront,233.54, DistDow,234.47, DistUp,234.74
, DistFront,233.62, DistDow,234.59, DistUp,234.42
, DistFront,233.96, DistDow,235.32, DistUp,234.74
, DistFront,233.61, DistDow,234.97, DistUp,235.27
, DistFront,234.35, DistDow,235.75, DistUp,234.25
, DistFront,235.27, DistDow,236.6, DistUp,234.27
, DistFront,233.55, DistDow,235.39, DistUp,235.68
, DistFront,234.34, DistDow,236.14, DistUp,237.81
, DistFront,235.24, DistDow,235.27, DistUp,235.66
, DistFront,234.47, DistDow,236.28, DistUp,236.09
, DistFront,234.34, DistDow,241.02, DistUp,234.23
, DistFront,235.27, DistDow,239.18, DistUp,236.38
, DistFront,234.32, DistDow,3293.38, DistUp,234.74
, DistFront,234.9, DistDow,236.24, DistUp,234.32
, DistFront,233.64, DistDow,236.75, DistUp,235.31
, DistFront,233.54, DistDow,235.32, DistUp,234.32
, DistFrontMean,233.67, DistDowMean,235.88, DistUpMean,234.88
, DistFront,233.54, DistDow,235.77, DistUp,234.32
, DistFront,234.1, DistDow,237.19, DistUp,234.83
, DistFront,233.55, DistDow,236.21, DistUp,235.68
, DistFront,233.96, DistDow,236.21, DistUp,235.56
, DistFront,234.42, DistDow,236.21, DistUp,238.13
, DistFront,233.98, DistDow,235.41, DistUp,235.17
, DistFront,234.91, DistDow,235.48, DistUp,234.81
, DistFront,233.64, DistDow,235.03, DistUp,235.75
, DistFront,233.1, DistDow,235.37, DistUp,236.05
, DistFront,235.77, DistDow,235.83, DistUp,235.63
, DistFront,234.49, DistDow,235.97, DistUp,234.85
, DistFront,233.91, DistDow,235.34, DistUp,236.55
, DistFront,234.42, DistDow,235.77, DistUp,235.19
, DistFront,234.83, DistDow,235.78, DistUp,234.32
, DistFront,234.12, DistDow,235.9, DistUp,233.98
, DistFront,233.52, DistDow,234.91, DistUp,234.76
, DistFront,234.12, DistDow,234.56, DistUp,234.46
, DistFront,234.4, DistDow,234.49, DistUp,234.47
, DistFront,233.55, DistDow,235.37, DistUp,234.78
, DistFront,234.52, DistDow,235.03, DistUp,235.66
, DistFrontMean,233.59, DistDowMean,234.91, DistUpMean,233.91
, DistFront,233.67, DistDow,235.48, DistUp,234.47
, DistFront,234.46, DistDow,234.98, DistUp,234.39
, DistFront,233.71, DistDow,235.82, DistUp,233.52
, DistFront,234.17, DistDow,235.07, DistUp,234.49
, DistFront,234.46, DistDow,234.97, DistUp,234.35
, DistFront,234.54, DistDow,234.18, DistUp,234.91
, DistFront,234.03, DistDow,234.06, DistUp,235.24
, DistFront,234.13, DistDow,235.05, DistUp,235.2
, DistFront,233.59, DistDow,234.52, DistUp,236.19
, DistFront,235.27, DistDow,234.12, DistUp,234.74
, DistFront,233.64, DistDow,235.05, DistUp,234.9
, DistFront,234, DistDow,237.13, DistUp,235.32
, DistFront,233.62, DistDow,235.34, DistUp,233.91
, DistFront,234.52, DistDow,236.34, DistUp,234.9
, DistFront,234.4, DistDow,234.91, DistUp,234.35
, DistFront,233.23, DistDow,235.37, DistUp,235.68
, DistFront,234.95, DistDow,236.34, DistUp,234.03
