AcX:,diffAcX,AcY:,diffAcY:,AcZ:,diffAcZ:,AgX:,diffAgX:,AgY:,diffAgY:,AgZ:,diffAgZ:,activity,,,
-5389,5389,-265,265,15470,15470,-1859,1859,-171,30769,103,103,stop,Acx,Acy,aGy
-5407,18,-256,9,15558,88,-1858,1,-381,210,74,29,stop,#NOME?,48.9,94.11317254
-5388,19,-70,186,15578,20,-1856,2,389,770,125,51,stop,,,
-5501,113,-339,269,15686,108,-1855,1,-459,848,102,23,stop,,,
-5158,343,-370,31,15028,658,-1855,0,-1673,1214,212,110,stop,,,
-5556,398,-1031,661,15574,546,-1855,0,-982,691,-14,226,stop,,,
-5174,382,-1214,3,15140,434,-1857,2,-426,556,23,37,stop,,,
-5402,228,-1158,56,15480,340,-1858,1,-151,275,115,92,stop,,,
-5393,9,-1155,3,15412,68,-1856,2,-87,64,94,21,stop,,,
-5372,21,-1057,98,15444,32,-1854,2,-120,33,85,9,stop,,,
-5398,26,-986,71,15461,17,-1856,2,-173,53,66,19,stop,,,
-5392,6,-1009,23,15438,23,-1856,0,-237,64,79,13,stop,,,
-5288,104,-951,58,15411,27,-1855,1,-88,149,72,7,stop,,,
-5939,651,-1386,435,15356,55,-1852,3,415,503,447,375,stop,,,
-5292,647,-955,431,15581,225,-1850,2,1446,1031,682,235,stop,,,
-5416,124,-185,770,15412,169,-1850,0,617,829,405,277,stop,,,
-5419,3,188,373,15235,177,-1849,1,-297,914,-124,529,stop,,,
-5738,319,1064,876,15120,115,-1850,1,726,1023,110,234,stop,,,
-6398,660,2433,1369,14848,272,-1850,0,2501,1775,-265,375,stop,,,
-5034,1364,3561,1128,15401,553,-1851,1,773,1728,100,365,stop,,,
-5673,639,3143,418,15191,210,-1851,0,-239,1012,33,67,stop,,,
-5562,111,2789,354,15175,16,-1850,1,-293,54,121,88,stop,,,
-5592,30,2999,210,15143,32,-1846,4,-275,18,131,10,stop,,,
-5556,36,2942,57,15178,35,-1851,5,-453,178,128,3,stop,,,
-5653,97,2850,92,15180,2,-1847,4,-341,112,9,119,stop,,,
-5592,77,2503,110,15408,178,-1843,6,-1164,482,288,221,stop,,,
-5494,98,1642,861,15288,120,-1845,2,-1553,389,1156,868,stop,,,
-6613,1119,1526,116,14733,555,-1844,1,-55,1498,2678,1522,stop,,,
-8016,1403,1200,326,14381,352,-1843,1,115,170,1628,1050,stop,,,
-7430,586,890,310,14517,136,-1842,1,-1383,1498,-75,1703,stop,,,
-6238,6238,726,726,15135,15135,-1831,1831,-241,241,82,82,stop,,,
-6196,42,757,31,15146,11,-1830,1,-207,34,70,12,stop,,,
-6204,8,797,40,15107,39,-1831,1,-240,33,56,14,stop,,,
-6182,22,787,10,15149,42,-1831,0,-214,26,58,2,stop,,,
-6184,2,829,42,15099,50,-1832,1,-255,41,103,45,stop,,,
-6194,10,808,21,15134,35,-1827,5,-287,32,112,9,stop,,,
-6208,14,784,24,15159,25,-1826,1,-261,26,96,16,stop,,,
-6198,10,784,0,15138,21,-1828,2,-298,37,97,1,stop,,,
-6227,29,747,37,15133,5,-1824,4,-274,24,96,1,stop,,,
-6153,74,729,18,14965,168,-1810,14,-252,22,94,2,stop,,,
-6238,85,754,25,15138,173,-1824,14,-231,21,85,9,stop,,,
-6213,25,784,30,15132,6,-1825,1,-225,6,53,32,stop,,,
-6215,2,793,9,15135,3,-1826,1,-208,17,57,4,stop,,,
-6196,19,806,13,15144,9,-1828,2,-227,19,70,13,stop,,,
-6190,6,801,5,15120,24,-1830,2,-281,54,146,76,stop,,,
-6246,56,763,38,15125,5,-1824,6,-288,7,141,5,stop,,,
-6256,10,779,16,15134,9,-1828,4,-269,19,86,55,stop,,,
-6239,17,742,37,15110,24,-1828,0,-286,17,57,29,stop,,,
