118.1, DistDow,118.71, DistUp,189.9,,,,,,,,
, DistFront,117.67, DistDow,119.61, DistUp,190.31,,,,,,
, DistFront,118.2, DistDow,119.18, DistUp,190.78,,,,,,
117.69, DistDow,118.76, DistUp,191.28,,,,,,,,
118.13, DistDow,119.63, DistUp,190.43,,,,,,,,
, DistFront,117.67, DistDow,118.84, DistUp,122.28,,,,,,
, DistFront,113.03, DistDow,120.02, DistUp,123.54,,,,,,
, DistFront,115.24, DistDow,117.82, DistUp,123.06,,,,,,
, DistFront,112.18, DistDow,118.69, DistUp,190.1,,,,,,
, DistFront,114.27, DistDow,117.89, DistUp,122.21,,,,,,
, DistFront,118.88, DistDow,119.25, DistUp,122.62,,,,,,
, DistFront,113.13, DistDow,118.84, DistUp,122.69,,,,,,
, DistFront,113.42, DistDow,117.93, DistUp,123.98,,,,,,
, DistFront,118.59, DistDow,116.12, DistUp,124.71,,,,,,
, DistFront,117.76, DistDow,119.3, DistUp,122.77,,,,,,
, DistFront,117.02, DistDow,118.47, DistUp,124.91,,,,,,
, DistFront,115.26, DistDow,119.81, DistUp,121.62,,,,,,
, DistFront,113.61, DistDow,118.59, DistUp,121.67,,,,,,
, DistFrontMean,118.76, DistDowMean,119.42, DistUpMean,123.38,,,,,,
, DistFront,117.91, DistDow,119.49, DistUp,122.13,,,,,,
, DistFront,111.97, DistDow,118.67, DistUp,122.62,,,,,,
, DistFront,115.1, DistDow,119.54, DistUp,122.93,,,,,,
, DistFront,115.17, DistDow,119.59, DistUp,122.21,,,,,,
, DistFront,113.03, DistDow,119.3, DistUp,191.8,,,,,,
, DistFront,113.88, DistDow,119.63, DistUp,122.67,,,,,,
, DistFront,115.1, DistDow,119.66, DistUp,124.78,,,,,,
, DistFront,115.02, DistDow,118.88, DistUp,123.98,,,,,,
, DistFront,115.48, DistDow,119.66, DistUp,123.59,,,,,,
, DistFront,116.19, DistDow,117.99, DistUp,124.83,,,,,,
, DistFront,113.67, DistDow,120.54, DistUp,123.16,,,,,,
, DistFront,114.91, DistDow,120.1, DistUp,122.74,,,,,,
, DistFront,114.52, DistDow,119.78, DistUp,124.42,,,,,,
, DistFront,113.69, DistDow,118.38, DistUp,122.31,,,,,,
, DistFront,115.37, DistDow,118.83, DistUp,122.7,,,,,,
, DistFront,112.57, DistDow,118.49, DistUp,121.89,,,,,,
, DistFront,112.04, DistDow,119.69, DistUp,121.85,,,,,,
, DistFront,117.06, DistDow,119.63, DistUp,122.67,,,,,,
, DistFront,113.67, DistDow,118.81, DistUp,122.26,,,,,,
, DistFront,114.12, DistDow,119.76, DistUp,121.82,,,,,,
, DistFrontMean,118.95, DistDowMean,120.05, DistUpMean,125.19,,,,,,
, DistFront,118.06, DistDow,119.59, DistUp,124.63,,,,,,
, DistFront,115.32, DistDow,120.02, DistUp,123.89,,,,,,
, DistFront,114.52, DistDow,118.69, DistUp,122.18,,,,,,
, DistFront,112.4, DistDow,119.49, DistUp,124.17,,,,,,
, DistFront,111.97, DistDow,119, DistUp,122.18,,,,,,
, DistFront,119.27, DistDow,118.95, DistUp,123.38,,,,,,
, DistFront,113.83, DistDow,118.52, DistUp,192.21,,,,,,
, DistFront,114.32, DistDow,118.49, DistUp,191.77,,,,,,
, DistFront,116.12, DistDow,118.89, DistUp,192.21,,,,,,
, DistFront,113.38, DistDow,118.49, DistUp,191.38,,,,,,
, DistFront,119.06, DistDow,116.31, DistUp,123.76,,,,,,
, DistFront,118.64, DistDow,119.27, DistUp,125.37,,,,,,
, DistFront,113.23, DistDow,119.69, DistUp,124.12,,,,,,
, DistFront,112.33, DistDow,119.3, DistUp,122.41,,,,,,
, DistFront,116.56, DistDow,117.38, DistUp,190.14,,,,,,
, DistFront,113.13, DistDow,119.23, DistUp,123.23,,,,,,
, DistFront,115.46, DistDow,117.87, DistUp,121.53,,,,,,
, DistFront,111.53, DistDow,118.38, DistUp,123.23,,,,,,
, DistFront,117.77, DistDow,116.5, DistUp,194.46,,,,,,
, DistFront,114.13, DistDow,118.84, DistUp,123.59,,,,,,
, DistFrontMean,118.69, DistDowMean,118.38, DistUpMean,190.68,,,,,,
, DistFront,117.74, DistDow,119.23, DistUp,121.38,,,,,,
, DistFront,114.56, DistDow,118.84, DistUp,123.18,,,,,,
, DistFront,115.41, DistDow,118.83, DistUp,122.74,,,,,,
, DistFront,114.68, DistDow,118.4, DistUp,193.64,,,,,,
, DistFront,118.18, DistDow,117.87, DistUp,123.61,,,,,,
, DistFront,114.03, DistDow,118.83, DistUp,122.74,,,,,,
, DistFront,115.07, DistDow,118.78, DistUp,121.85,,,,,,
, DistFront,114.68, DistDow,119.25, DistUp,122.74,,,,,,
, DistFront,113.67, DistDow,118.38, DistUp,192.4,,,,,,
, DistFront,115.32, DistDow,118.89, DistUp,191.12,,,,,,
, DistFront,117.87, DistDow,119.27, DistUp,3.76,,,,,,
, DistFront,116.73, DistDow,118.81, DistUp,121.92,,,,,,
, DistFront,117.77, DistDow,118.95, DistUp,191.67,,,,,,
, DistFront,113.61, DistDow,119.3, DistUp,121.89,,,,,,
, DistFront,115.63, DistDow,118.78, DistUp,122.7, DistFront,118.27, DistDow,119.46, DistUp,3.74
,,,,,,,,,,,,
7,,,,,,,,,,,,
, DistFront,113.95, DistDow,119.2, DistUp,123.95,,,,,,
, DistFront,115.68, DistDow,118.71, DistUp,121.8,,,,,,
, DistFrontMean,117.62, DistDowMean,118.25, DistUpMean,123.45,,,,,,
, DistFront,117.55, DistDow,118.25, DistUp,190.99,,,,,,
, DistFront,113.98, DistDow,119.1, DistUp,190.92,,,,,,
, DistFront,117.52, DistDow,119.47, DistUp,122.99,,,,,,
, DistFront,112.96, DistDow,118.74, DistUp,121.28,,,,,,
, DistFront,118.33, DistDow,118.55, DistUp,191.28,,,,,,
, DistFront,114.88, DistDow,118.52, DistUp,191.55,,,,,,
, DistFront,114.63, DistDow,119.39, DistUp,122.11,,,,,,
, DistFront,115.82, DistDow,118.96, DistUp,123.76,,,,,,
, DistFront,117.41, DistDow,118.47, DistUp,190.75,,,,,,
, DistFront,117.89, DistDow,118.47, DistUp,191.62,,,,,,
, DistFront,117.47, DistDow,119.49, DistUp,191.21,,,,,,
, DistFront,115.95, DistDow,118.13, DistUp,122.52,,,,,,
, DistFront,118.32, DistDow,118.54, DistUp,194.18,,,,,,
, DistFront,114.59, DistDow,118.61, DistUp,122.96,,,,,,
, DistFront,113.47, DistDow,118.59, DistUp,123.71,,,,,,
, DistFront,117.52, DistDow,118.59, DistUp,125.07,,,,,,
, DistFront,113.59, DistDow,118.23, DistUp,192.19,,,,,,
, DistFront,117.62, DistDow,118.35, DistUp,121.38,,,,,,
, DistFront,111.77, DistDow,118.84, DistUp,190.54,,,,,,
, DistFront,113.88, DistDow,118.03, DistUp,191.46,,,,,,
, DistFrontMean,118.1, DistDowMean,118.76, DistUpMean,123.11,,,,,,
, DistFront,117.69, DistDow,119.66, DistUp,121.89,,,,,,
, DistFront,112.13, DistDow,118.81, DistUp,122.31,,,,,,
, DistFront,113.88, DistDow,119.3, DistUp,122.31,,,,,,
, DistFront,112.99, DistDow,119.4, DistUp,3350.14,,,,,,
, DistFront,107.74, DistDow,118.89, DistUp,122.02,,,,,,
, DistFront,117.84, DistDow,118.95, DistUp,123.67,,,,,,
, DistFront,115.1, DistDow,118.95, DistUp,123.27,,,,,,
, DistFront,112.28, DistDow,118.69, DistUp,122.47,,,,,,
, DistFront,115.68, DistDow,119.39, DistUp,122.89,,,,,,
, DistFront,113.03, DistDow,118.13, DistUp,3306.02,,,,,,
, DistFront,106.92, DistDow,118.59, DistUp,3302.45,,,,,,
, DistFront,106.39, DistDow,118.47, DistUp,123.52,,,,,,
, DistFront,115.56, DistDow,118.95, DistUp,122.35,,,,,,
, DistFront,115.2, DistDow,118.95, DistUp,124.47,,,,,,
, DistFront,115.17, DistDow,119.3, DistUp,124.42,,,,,,
, DistFront,114.98, DistDow,117.33, DistUp,191.12,,,,,,
, DistFront,114.17, DistDow,118.89, DistUp,122.31,,,,,,
