 DistFront, DistDow, DistUp,classe,,,,
115.12,117.93,142.74,obstaculo_rateiro,0,,,
111.53,113.81,140.03,obstaculo_rateiro,0,,,
115.2,117.21,142.7,obstaculo_rateiro,0,,,
117.67,120.1,143.71,obstaculo_rateiro,0,,,
118.23,120.97,125.63,obstaculo_rateiro,0,,,
116.9,118.96,120.78,obstaculo_rateiro,0,,,
116.67,120.85,121.84,obstaculo_rateiro,0,,,
117.11,120.9,145.02,obstaculo_rateiro,0,,,
118.16,120.56,122.62,obstaculo_rateiro,0,,,
117.09,120.05,122.19,obstaculo_rateiro,0,,,
117.06,118.98,121.73,obstaculo_rateiro,0,,,
118.04,120.82,123.49,obstaculo_rateiro,0,,,
117.11,120.31,120.49,obstaculo_rateiro,0,,,
116.39,119.69,122.04,obstaculo_rateiro,0,,,
83.74,87.74,113.95,obstaculo_rateiro,0,,,
84.74,88.55,115.05,obstaculo_rateiro,0,,,
84.34,87.7,114.91,obstaculo_rateiro,0,,,
83.98,87.76,114.25,obstaculo_rateiro,0,,,
83.13,86.11,113.33,obstaculo_rateiro,0,,,
83.18,87.47,115.32,obstaculo_rateiro,0,,,
82.57,87.16,113.33,obstaculo_rateiro,0,,,
82.93,87.09,113.49,obstaculo_rateiro,0,,,
82.69,86.85,115.14,obstaculo_rateiro,0,,,
84.81,88.71,116.11,obstaculo_rateiro,0,,,
82.62,87.26,115.14,obstaculo_rateiro,0,,,
82.33,86.11,113.59,obstaculo_rateiro,0,,,
82.04,86.31,114.39,obstaculo_rateiro,0,,,
83.04,86.45,113.83,obstaculo_rateiro,0,,,
83.13,87.81,114.83,obstaculo_rateiro,0,,,
83.03,86.02,114.76,obstaculo_rateiro,0,,,
82.74,85.73,113.95,obstaculo_rateiro,0,,,
92.84,92.64,112.62,obstaculo_rateiro,0,,,
88.89,107.04,457.38,obstaculo_rateiro,0,,,
85.49,107.55,324.68,obstaculo_rateiro,0,,,
89.18,105.73,313.38,obstaculo_rateiro,0,,,
85.63,106.8,456.34,obstaculo_rateiro,0,,,
90.34,103.03,456.38,obstaculo_rateiro,0,,,
84.74,89.35,457.35,obstaculo_rateiro,0,,,
88.54,98.1,107.76,obstaculo_rateiro,0,,,
101.26,104.88,131.19,obstaculo_rateiro,0,,,
112.67,112.91,120.27,obstaculo_rateiro,0,,,
110.77,52.04,252.82,obstaculo_rateiro,0,,,
81.67,100.54,123.45,obstaculo_rateiro,0,,,
82.48,100.43,123.32,obstaculo_rateiro,0,,,
81.92,104.88,120.41,obstaculo_rateiro,0,,,
77.33,93.81,104.71,obstaculo_rateiro,0,,,
75.9,78.33,100.95,obstaculo_rateiro,0,,,
75.97,80.19,101.5,obstaculo_rateiro,0,,,
75.92,78.32,101.04,obstaculo_rateiro,0,,,
86.8,89.54,310.43,obstaculo_rateiro,0,,,
96.46,93.42,276.09,obstaculo_rateiro,0,,,
95.02,93.62,276.67,obstaculo_rateiro,0,,,
114,118.42,147.99,obstaculo_rateiro,0,,,
200.46,231.33,167.06,obstaculo_suspenso,1,,,
198.38,232.06,120.14,obstaculo_suspenso,1,,,
195.95,226.77,123.88,obstaculo_suspenso,1,,,
182.99,220.02,76.31,obstaculo_suspenso,1,,,
198.61,233.81,79.25,obstaculo_suspenso,1,,,
83.35,116.28,79.25,obstaculo_suspenso,1,,,
77.74,119.95,84.88,obstaculo_suspenso,1,,,
79.18,160.03,79.78,obstaculo_suspenso,1,,,
