"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,"coordinates(x,y,z)",activity,,,
{1096; 2170; 852},walk,,{1106; 2382; 978},stop/move/stand,,{1024; 2092; 756},stop/static/stand,,{1370; 1256; 464},stop/static/seat,,{1530; 1408; 640},stop/move/seat
{1062; 2026; 770},walk,,{1170; 2236; 898},stop/move/stand,,{1074; 2034; 734},stop/static/stand,,{1342; 1168; 438},stop/static/seat,,{1500; 1222; 566},stop/move/seat
{1064; 1636; 588},walk,,{1086; 2264; 884},stop/move/stand,,{1042; 2096; 766},stop/static/stand,,{1268; 1374; 468},stop/static/seat,,{1446; 1358; 606},stop/move/seat
{1472; 1658; 658},walk,,{1168; 2228; 898},stop/move/stand,,{1022; 2102; 768},stop/static/stand,,{1268; 1362; 470},stop/static/seat,,{1542; 942; 468},stop/move/seat
{1402; 1724; 634},walk,,{1152; 2384; 996},stop/move/stand,,{1054; 2138; 802},stop/static/stand,,{1262; 1430; 496},stop/static/seat,,{1490; 1540; 720},stop/move/seat
{1060; 2050; 696},walk,,{1108; 2460; 1140},stop/move/stand,,{1016; 2196; 832},stop/static/stand,,{1228; 1392; 466},stop/static/seat,,{1164; 2020; 904},stop/move/seat
{942; 1678; 466},walk,,{1034; 2570; 1156},stop/move/stand,,{1054; 2160; 824},stop/static/stand,,{1232; 1362; 456},stop/static/seat,,{1550; 1426; 688},stop/move/seat
{1022; 1608; 478},walk,,{1000; 2864; 1246},stop/move/stand,,{1030; 2216; 850},stop/static/stand,,{1234; 1330; 446},stop/static/seat,,{1444; 1586; 714},stop/move/seat
{1296; 1746; 592},walk,,{992; 2702; 1252},stop/move/stand,,{1060; 2288; 910},stop/static/stand,,{1230; 1252; 412},stop/static/seat,,{792; 3356; 2272},stop/move/seat
{1382; 1278; 472},walk,,{990; 2718; 1228},stop/move/stand,,{984; 2242; 850},stop/static/stand,,{1234; 1256; 420},stop/static/seat,,{692; 2944; 1572},stop/move/seat
{1866; 18; 396},walk,,{1030; 2652; 1160},stop/move/stand,,{1098; 2226; 888},stop/static/stand,,{1240; 1232; 412},stop/static/seat,,{216; 3098; 1578},stop/move/seat
{1590; 536; 386},walk,,{1050; 2614; 1144},stop/move/stand,,{1082; 2306; 936},stop/static/stand,,{1240; 1328; 448},stop/static/seat,,{1060; 2830; 1556},stop/move/seat
{1316; 1992; 764},walk,,{1148; 2648; 1234},stop/move/stand,,{1070; 2340; 964},stop/static/stand,,{1242; 1362; 460},stop/static/seat,,{1070; 3032; 1748},stop/move/seat
{1192; 1860; 734},walk,,{1116; 2604; 1180},stop/move/stand,,{1070; 2304; 930},stop/static/stand,,{1214; 1382; 464},stop/static/seat,,{940; 3168; 1888},stop/move/seat
{1670; 1934; 930},walk,,{1060; 2662; 1214},stop/move/stand,,{1104; 2256; 908},stop/static/stand,,{1230; 1380; 466},stop/static/seat,,{1136; 3090; 1860},stop/move/seat
{1290; 1986; 866},walk,,{400; 3270; 1842},stop/move/stand,,{1116; 2264; 920},stop/static/stand,,{1284; 1340; 470},stop/static/seat,,{984; 3154; 1810},stop/move/seat
{1274; 2030; 774},walk,,{1222; 1636; 676},stop/move/stand,,{1102; 2290; 932},stop/static/stand,,{1284; 1342; 472},stop/static/seat,,{1534; 1048; 520},stop/move/seat
{1318; 2112; 838},walk,,{868; 2724; 1148},stop/move/stand,,{1108; 2272; 920},stop/static/stand,,{1288; 1340; 472},stop/static/seat,,{1418; 1306; 534},stop/move/seat
{1284; 2090; 826},walk,,{990; 2536; 1096},stop/move/stand,,{1100; 2286; 926},stop/static/stand,,{1308; 1276; 454},stop/static/seat,,{1444; 1136; 482},stop/move/seat
{1482; 1934; 876},walk,,{980; 2494; 1062},stop/move/stand,,{1098; 2280; 924},stop/static/stand,,{1328; 1238; 450},stop/static/seat,,{1456; 1154; 516},stop/move/seat
{1204; 2300; 970},walk,,{1020; 2480; 960},stop/move/stand,,{1164; 2232; 914},stop/static/stand,,{1322; 1220; 452},stop/static/seat,,{1410; 1204; 496},stop/move/seat
{1188; 2190; 870},walk,,{1046; 2384; 1010},stop/move/stand,,{1194; 2168; 882},stop/static/stand,,{1322; 1226; 442},stop/static/seat,,{1414; 1054; 414},stop/move/seat
{1128; 2138; 756},walk,,{1040; 2290; 916},stop/move/stand,,{1230; 2182; 908},stop/static/stand,,{1322; 1224; 448},stop/static/seat,,{1392; 1170; 460},stop/move/seat
{1090; 2134; 818},walk,,{1234; 2482; 1108},stop/move/stand,,{1152; 2250; 920},stop/static/stand,,{1324; 1228; 444},stop/static/seat,,{1382; 1232; 486},stop/move/seat
{1242; 2260; 1016},walk,,{1084; 2540; 1164},stop/move/stand,,{1172; 2242; 926},stop/static/stand,,{1322; 1232; 448},stop/static/seat,,{1382; 1168; 448},stop/move/seat
{1258; 2236; 892},walk,,{992; 2444; 1016},stop/move/stand,,{1148; 2278; 942},stop/static/stand,,{1320; 1242; 448},stop/static/seat,,{1392; 1112; 430},stop/move/seat
{1320; 2506; 1182},walk,,{386; 2768; 1216},stop/move/stand,,{1168; 2234; 920},stop/static/stand,,{1322; 1248; 450},stop/static/seat,,{1384; 1168; 456},stop/move/seat
{1252; 2492; 972},walk,,{302; 2836; 1270},stop/move/stand,,{1156; 2274; 944},stop/static/stand,,{1324; 1246; 454},stop/static/seat,,{1370; 1250; 484},stop/move/seat
{1188; 2558; 1090},walk,,{1052; 2326; 932},stop/move/stand,,{1158; 2264; 940},stop/static/stand,,{1328; 1230; 452},stop/static/seat,,{1486; 1194; 532},stop/move/seat
{1300; 2444; 1184},walk,,{660; 2426; 924},stop/move/stand,,{1160; 2274; 946},stop/static/stand,,{1328; 1240; 452},stop/static/seat,,,
{1064; 2620; 1184},walk,,{1104; 2258; 946},stop/move/stand,,{1156; 2288; 956},stop/static/stand,,{1326; 1250; 454},stop/static/seat,,,
{964; 2218; 864},walk,,{1038; 2468; 1090},stop/move/stand,,{1168; 2258; 938},stop/static/stand,,{1328; 1258; 458},stop/static/seat,,,
{1162; 2206; 846},walk,,{1020; 2392; 978},stop/move/stand,,{1156; 2258; 936},stop/static/stand,,{1334; 1240; 456},stop/static/seat,,,
{970; 2214; 812},walk,,{998; 2290; 888},stop/move/stand,,{1154; 2260; 944},stop/static/stand,,{1330; 1278; 468},stop/static/seat,,,
{1110; 2254; 834},walk,,{996; 2360; 934},stop/move/stand,,{1136; 2322; 972},stop/static/stand,,{1356; 1300; 488},stop/static/seat,,,
{1160; 2372; 1002},walk,,{1034; 2326; 924},stop/move/stand,,{1144; 2284; 948},stop/static/stand,,{1358; 1316; 496},stop/static/seat,,,
{1144; 2354; 1030},walk,,{948; 2456; 964},stop/move/stand,,{1152; 2226; 910},stop/static/stand,,{1340; 1358; 500},stop/static/seat,,,
{1038; 2418; 914},walk,,{874; 2346; 874},stop/move/stand,,{1144; 2242; 924},stop/static/stand,,{1346; 1348; 500},stop/static/seat,,,
{916; 2384; 884},walk,,{964; 2356; 916},stop/move/stand,,{1074; 2310; 942},stop/static/stand,,{1346; 1358; 502},stop/static/seat,,,
{1028; 2378; 892},walk,,{950; 2380; 920},stop/move/stand,,{1112; 2344; 984},stop/static/stand,,{1352; 1318; 494},stop/static/seat,,,
{952; 2322; 848},walk,,{960; 2442; 952},stop/move/stand,,{1094; 2360; 986},stop/static/stand,,{1318; 1288; 460},stop/static/seat,,,
{1098; 2534; 1052},walk,,{990; 2446; 998},stop/move/stand,,{1094; 2386; 1010},stop/static/stand,,{1322; 1082; 402},stop/static/seat,,,
{1094; 2564; 1128},walk,,{978; 2422; 976},stop/move/stand,,{1090; 2438; 1048},stop/static/stand,,{1306; 1304; 470},stop/static/seat,,,
{896; 2288; 848},walk,,{986; 2440; 1000},stop/move/stand,,{1100; 2456; 1070},stop/static/stand,,{1410; 1244; 482},stop/static/seat,,,
{1252; 2332; 942},walk,,{754; 3230; 1918},stop/move/stand,,{1088; 2454; 1064},stop/static/stand,,{1396; 1252; 484},stop/static/seat,,,
{1030; 2116; 758},walk,,{1136; 2066; 860},stop/move/stand,,{1096; 2426; 1044},stop/static/stand,,{1396; 1250; 486},stop/static/seat,,,
{1008; 2052; 684},walk,,{988; 2146; 776},stop/move/stand,,{1096; 2424; 1040},stop/static/stand,,{1396; 1252; 486},stop/static/seat,,,
{1218; 2296; 948},walk,,{740; 2866; 1358},stop/move/stand,,{1106; 2406; 1032},stop/static/stand,,{1404; 1248; 488},stop/static/seat,,,
{1034; 2096; 852},walk,,{1198; 1810; 698},stop/move/stand,,{1104; 2442; 1062},stop/static/stand,,{1436; 1214; 492},stop/static/seat,,,
{1050; 2210; 824},walk,,{788; 2396; 906},stop/move/stand,,{1070; 2484; 1082},stop/static/stand,,{1408; 1222; 478},stop/static/seat,,,
{802; 2382; 816},walk,,{958; 2364; 934},stop/move/stand,,{1042; 2370; 978},stop/static/stand,,{1400; 1218; 476},stop/static/seat,,,
{942; 2328; 774},walk,,{930; 2612; 1206},stop/move/stand,,{1040; 2376; 988},stop/static/stand,,{1400; 1212; 474},stop/static/seat,,,
{1082; 2158; 736},walk,,{1452; 3514; 2898},stop/move/stand,,{1044; 2410; 1010},stop/static/stand,,{1396; 1222; 474},stop/static/seat,,,
{1156; 2462; 1062},walk,,{1052; 1920; 670},stop/move/stand,,{1078; 2448; 1054},stop/static/stand,,{1398; 1206; 472},stop/static/seat,,,
{894; 2296; 910},walk,,{-12; 3108; 1712},stop/move/stand,,{1042; 2440; 1036},stop/static/stand,,{1400; 1202; 472},stop/static/seat,,,
{1076; 2208; 850},walk,,{1086; 2254; 940},stop/move/stand,,{1010; 2472; 1048},stop/static/stand,,{1396; 1222; 474},stop/static/seat,,,
{1212; 2114; 750},walk,,{946; 2258; 834},stop/move/stand,,{1036; 2414; 1014},stop/static/stand,,{1396; 1210; 476},stop/static/seat,,,
{1030; 2202; 808},walk,,{890; 2630; 1114},stop/move/stand,,{1046; 2386; 996},stop/static/stand,,{1400; 1202; 472},stop/static/seat,,,
{788; 2314; 834},walk,,{994; 2348; 930},stop/move/stand,,{1048; 2390; 996},stop/static/stand,,{1396; 1232; 478},stop/static/seat,,,
{852; 2438; 900},walk,,{1028; 2418; 998},stop/move/stand,,{1056; 2366; 980},stop/static/stand,,{1398; 1216; 476},stop/static/seat,,,
{1106; 2314; 902},walk,,{1038; 2328; 948},stop/move/stand,,{1082; 2326; 962},stop/static/stand,,{1400; 1206; 474},stop/static/seat,,,
{910; 2284; 850},walk,,{1062; 2444; 1026},stop/move/stand,,{1088; 2308; 946},stop/static/stand,,{1400; 1222; 478},stop/static/seat,,,
{1142; 2172; 896},walk,,{1074; 2390; 994},stop/move/stand,,{1106; 2282; 934},stop/static/stand,,{1400; 1226; 476},stop/static/seat,,,
{1144; 2224; 870},walk,,{1100; 2356; 1008},stop/move/stand,,{1126; 2284; 942},stop/static/stand,,{1406; 1206; 476},stop/static/seat,,,
{1248; 2440; 998},walk,,{1026; 2480; 1078},stop/move/stand,,{1246; 2238; 964},stop/static/stand,,{1408; 1200; 474},stop/static/seat,,,
{910; 2312; 808},walk,,{1070; 2414; 1036},stop/move/stand,,{1254; 2222; 950},stop/static/stand,,{1404; 1234; 482},stop/static/seat,,,
{940; 2218; 778},walk,,{1094; 2350; 990},stop/move/stand,,{1260; 2216; 948},stop/static/stand,,{1408; 1210; 478},stop/static/seat,,,
{1106; 2250; 860},walk,,{1078; 2412; 990},stop/move/stand,,{1242; 2242; 958},stop/static/stand,,{1410; 1210; 478},stop/static/seat,,,
{952; 2164; 804},walk,,{1100; 2372; 996},stop/move/stand,,{1204; 2196; 910},stop/static/stand,,{1408; 1220; 480},stop/static/seat,,,
{1422; 2074; 886},walk,,{1014; 2542; 1112},stop/move/stand,,{1100; 2184; 862},stop/static/stand,,{1408; 1228; 482},stop/static/seat,,,
{1222; 2302; 848},walk,,{1058; 2382; 980},stop/move/stand,,{1010; 2404; 996},stop/static/stand,,{1412; 1208; 482},stop/static/seat,,,
{1062; 2390; 938},walk,,{1108; 2336; 962},stop/move/stand,,{1010; 2422; 1008},stop/static/stand,,{1410; 1246; 488},stop/static/seat,,,
{938; 2316; 854},walk,,{1088; 2318; 942},stop/move/stand,,{978; 2466; 1034},stop/static/stand,,{1416; 1216; 484},stop/static/seat,,,
{502; 2304; 778},walk,,{1124; 2314; 948},stop/move/stand,,{972; 2460; 1030},stop/static/stand,,{1416; 1208; 482},stop/static/seat,,,
{960; 2190; 818},walk,,{1020; 2212; 844},stop/move/stand,,{972; 2468; 1036},stop/static/stand,,{1408; 1264; 496},stop/static/seat,,,
{1010; 2276; 798},walk,,{1046; 2188; 836},stop/move/stand,,{982; 2484; 1050},stop/static/stand,,{1406; 1266; 502},stop/static/seat,,,
{1312; 2434; 1022},walk,,{1098; 2370; 1028},stop/move/stand,,{1020; 2462; 1048},stop/static/stand,,{1416; 1270; 502},stop/static/seat,,,
{898; 2382; 902},walk,,{1080; 2728; 1372},stop/move/stand,,{1032; 2438; 1032},stop/static/stand,,{1418; 1260; 500},stop/static/seat,,,
{930; 2416; 910},walk,,{1694; 2886; 2312},stop/move/stand,,{1030; 2414; 1012},stop/static/stand,,{1414; 1262; 502},stop/static/seat,,,
{822; 2332; 800},walk,,{1176; 2160; 884},stop/move/stand,,{1006; 2472; 1050},stop/static/stand,,{1414; 1268; 504},stop/static/seat,,,
{1006; 2308; 918},walk,,{258; 2466; 858},stop/move/stand,,{1010; 2464; 1048},stop/static/stand,,{1412; 1296; 508},stop/static/seat,,,
{1328; 2680; 1280},walk,,{1264; 2218; 954},stop/move/stand,,{990; 2446; 1020},stop/static/stand,,{1414; 1284; 510},stop/static/seat,,,
{1092; 2290; 816},walk,,{1270; 2048; 826},stop/move/stand,,{1012; 2412; 1000},stop/static/stand,,{1414; 1290; 510},stop/static/seat,,,
{1196; 2200; 866},walk,,{1170; 1998; 754},stop/move/stand,,{1006; 2388; 980},stop/static/stand,,{1414; 1298; 516},stop/static/seat,,,
{1190; 2216; 874},walk,,{1164; 2118; 838},stop/move/stand,,{1002; 2382; 978},stop/static/stand,,{1418; 1280; 510},stop/static/seat,,,
{1252; 2230; 928},walk,,{1210; 2152; 874},stop/move/stand,,{992; 2442; 1022},stop/static/stand,,{1420; 1306; 518},stop/static/seat,,,
{1474; 2488; 1088},walk,,{1248; 2164; 886},stop/move/stand,,{974; 2456; 1026},stop/static/stand,,{1424; 1282; 516},stop/static/seat,,,
{1276; 2442; 1114},walk,,{1238; 2186; 904},stop/move/stand,,{1004; 2398; 988},stop/static/stand,,{1424; 1292; 516},stop/static/seat,,,
{1044; 2332; 880},walk,,{1250; 2268; 974},stop/move/stand,,{1000; 2440; 1022},stop/static/stand,,{1420; 1284; 510},stop/static/seat,,,
