, DistFront, 3301.77, DistDow, 275.24, DistUp, 118.61
, DistFront, 115.73, DistDow, 313.62, DistUp, 113.45
, DistFront, 116.85, DistDow, 312.09, DistUp, 113.55
, DistFront, 114.34, DistDow, 318.67, DistUp, 113.89
, DistFront, 116.33, DistDow, 3239.95, DistUp, 112.09
, DistFront, 114.71, DistDow, 3229.85, DistUp, 113.04
, DistFront, 115.31, DistDow, 3233.33, DistUp, 113.11
, DistFront, 114.20, DistDow, 313.71, DistUp, 113.61
, DistFront, 115.88, DistDow, 3273.91, DistUp, 112.33
, DistFront, 114.05, DistDow, 315.41, DistUp, 112.41
, DistFront, 114.56, DistDow, 315.02, DistUp, 114.85
, DistFront, 114.66, DistDow, 3263.27, DistUp, 112.57
, DistFront, 115.31, DistDow, 3245.95, DistUp, 113.27
, DistFront, 114.71, DistDow, 3223.35, DistUp, 113.33
, DistFront, 115.61, DistDow, 3253.88, DistUp, 113.35
, DistFront, 115.77, DistDow, 313.81, DistUp, 113.59
, DistFront, 114.42, DistDow, 3250.10, DistUp, 114.03
, DistFront, 115.17, DistDow, 3266.05, DistUp, 112.45
, DistFront, 114.61, DistDow, 3228.38, DistUp, 114.32
, DistFront, 114.81, DistDow, 312.57, DistUp, 114.17
, DistFrontMean, 115.70, DistDowMean, 3251.68, DistUpMean, 113.84
, DistFront, 115.61, DistDow, 3223.13, DistUp, 113.23
, DistFront, 115.14, DistDow, 3236.63, DistUp, 115.20
, DistFront, 114.25, DistDow, 314.85, DistUp, 113.54
, DistFront, 115.83, DistDow, 313.13, DistUp, 114.23
, DistFront, 115.10, DistDow, 314.34, DistUp, 114.42
, DistFront, 115.78, DistDow, 3218.04, DistUp, 114.00
, DistFront, 118.54, DistDow, 309.85, DistUp, 115.19
, DistFront, 116.04, DistDow, 3227.52, DistUp, 115.66
, DistFront, 118.35, DistDow, 3248.25, DistUp, 113.59
, DistFront, 115.34, DistDow, 3257.11, DistUp, 113.45
, DistFront, 114.30, DistDow, 3273.74, DistUp, 113.45
, DistFront, 114.56, DistDow, 3249.76, DistUp, 113.96
, DistFront, 117.47, DistDow, 3279.06, DistUp, 113.64
, DistFront, 115.12, DistDow, 314.46, DistUp, 115.70
, DistFront, 115.68, DistDow, 314.25, DistUp, 113.95
, DistFront, 114.63, DistDow, 3246.33, DistUp, 114.25
, DistFront, 115.41, DistDow, 312.57, DistUp, 114.59
, DistFront, 114.74, DistDow, 3224.39, DistUp, 113.04
, DistFront, 115.19, DistDow, 3289.63, DistUp, 113.96
, DistFront, 116.04, DistDow, 3265.37, DistUp, 114.13
, DistFrontMean, 118.54, DistDowMean, 3228.18, DistUpMean, 114.03
, DistFront, 118.27, DistDow, 3250.07, DistUp, 114.34
, DistFront, 114.59, DistDow, 313.69, DistUp, 114.68
, DistFront, 115.90, DistDow, 315.88, DistUp, 115.54
, DistFront, 115.07, DistDow, 314.81, DistUp, 112.98
, DistFront, 115.88, DistDow, 313.49, DistUp, 114.78
, DistFront, 117.67, DistDow, 3244.20, DistUp, 114.42
, DistFront, 115.75, DistDow, 3246.02, DistUp, 113.18
, DistFront, 115.66, DistDow, 3263.28, DistUp, 113.96
, DistFront, 116.90, DistDow, 3288.96, DistUp, 113.45
, DistFront, 117.48, DistDow, 3269.40, DistUp, 113.40
, DistFront, 114.63, DistDow, 315.27, DistUp, 114.78
, DistFront, 115.63, DistDow, 3237.53, DistUp, 115.12
, DistFront, 114.13, DistDow, 3277.48, DistUp, 113.55
, DistFront, 114.69, DistDow, 3227.09, DistUp, 114.76
, DistFront, 116.34, DistDow, 3226.60, DistUp, 115.95
, DistFront, 113.98, DistDow, 315.34, DistUp, 114.13
, DistFront, 114.00, DistDow, 315.46, DistUp, 113.32
, DistFront, 114.98, DistDow, 3265.88, DistUp, 113.16
, DistFront, 115.39, DistDow, 3228.69, DistUp, 114.30
, DistFront, 116.24, DistDow, 3266.99, DistUp, 113.25
, DistFrontMean, 114.52, DistDowMean, 107.89, DistUpMean, 113.78
, DistFront, 114.97, DistDow, 3240.82, DistUp, 114.49
, DistFront, 115.82, DistDow, 313.89, DistUp, 112.87
, DistFront, 116.50, DistDow, 3242.69, DistUp, 114.74
, DistFront, 114.54, DistDow, 3277.70, DistUp, 113.69
, DistFront, 115.95, DistDow, 313.32, DistUp, 114.25
, DistFront, 115.54, DistDow, 314.54, DistUp, 116.45
, DistFront, 114.30, DistDow, 315.37, DistUp, 113.78
, DistFront, 115.99, DistDow, 312.41, DistUp, 113.71
, DistFront, 115.10, DistDow, 314.20, DistUp, 113.67
, DistFront, 114.06, DistDow, 3274.00, DistUp, 112.26
, DistFront, 115.41, DistDow, 3236.63, DistUp, 113.67
, DistFront, 114.98, DistDow, 3231.02, DistUp, 113.16
, DistFront, 114.20, DistDow, 3244.03, DistUp, 114.12
, DistFront, 115.63, DistDow, 312.99, DistUp, 113.59
, DistFront, 115.92, DistDow, 3272.33, DistUp, 112.84
, DistFront, 116.89, DistDow, 311.09, DistUp, 114.88
, DistFront, 114.23, DistDow, 3258.10, DistUp, 113.55
, DistFront, 115.10, DistDow, 3277.60, DistUp, 113.20
, DistFront, 116.19, DistDow, 3231.80, DistUp, 114.17
, DistFront, 115.39, DistDow, 313.59, DistUp, 113.03
, DistFrontMean, 115.83, DistDowMean, 3243.54, DistUpMean, 114.05
, DistFront, 114.40, DistDow, 3291.31, DistUp, 113.10
, DistFront, 117.11, DistDow, 3244.39, DistUp, 113.13
, DistFront, 113.74, DistDow, 3255.19, DistUp, 111.99
, DistFront, 114.52, DistDow, 3304.74, DistUp, 112.77
, DistFront, 114.12, DistDow, 315.77, DistUp, 111.55
, DistFront, 113.78, DistDow, 3219.81, DistUp, 112.74
, DistFront, 114.03, DistDow, 3179.74, DistUp, 112.87
, DistFront, 114.40, DistDow, 3277.74, DistUp, 113.69
, DistFront, 115.05, DistDow, 3236.41, DistUp, 113.38
, DistFront, 115.34, DistDow, 3260.43, DistUp, 114.25
, DistFront, 116.39, DistDow, 3234.54, DistUp, 114.10
, DistFront, 116.48, DistDow, 3249.18, DistUp, 115.14
, DistFront, 116.24, DistDow, 3289.06, DistUp, 114.63
, DistFront, 116.19, DistDow, 3259.46, DistUp, 114.90
, DistFront, 119.52, DistDow, 3242.82, DistUp, 113.89
, DistFront, 117.09, DistDow, 3270.78, DistUp, 113.20
, DistFront, 116.04, DistDow, 314.54, DistUp, 114.54
, DistFront, 114.32, DistDow, 3230.43, DistUp, 114.17
, DistFront, 114.34, DistDow, 3263.61, DistUp, 113.10
, DistFront, 113.89, DistDow, 3223.11, DistUp, 114.00
, DistFrontMean, 115.60, DistDowMean, 3252.93, DistUpMean, 113.47
, DistFront, 114.66, DistDow, 3279.98, DistUp, 113.69
, DistFront, 117.28, DistDow, 3288.69, DistUp, 113.69
, DistFront, 114.88, DistDow, 322.74, DistUp, 112.91
, DistFront, 115.54, DistDow, 3250.83, DistUp, 114.39
, DistFront, 115.27, DistDow, 314.76, DistUp, 112.77
, DistFront, 114.90, DistDow, 316.50, DistUp, 113.81
, DistFront, 117.84, DistDow, 3288.04, DistUp, 113.38
, DistFront, 115.27, DistDow, 3247.13, DistUp, 113.74
, DistFront, 115.68, DistDow, 3246.63, DistUp, 115.20
, DistFront, 114.40, DistDow, 3221.19, DistUp, 114.95
, DistFront, 114.30, DistDow, 3249.46, DistUp, 112.98
, DistFront, 114.10, DistDow, 3246.73, DistUp, 113.25
, DistFront, 115.24, DistDow, 3264.88, DistUp, 112.74
, DistFront, 114.63, DistDow, 3235.20, DistUp, 114.40
, DistFront, 114.13, DistDow, 3210.60, DistUp, 113.33
, DistFront, 115.75, DistDow, 3278.27, DistUp, 112.77
, DistFront, 114.88, DistDow, 3256.21, DistUp, 113.38
, DistFront, 116.04, DistDow, 3243.47, DistUp, 114.69
, DistFront, 115.49, DistDow, 3253.74, DistUp, 113.54
, DistFront, 114.74, DistDow, 3269.63, DistUp, 114.42
, DistFrontMean, 116.39, DistDowMean, 3221.31, DistUpMean, 114.83
, DistFront, 114.66, DistDow, 3258.71, DistUp, 113.61
, DistFront, 114.78, DistDow, 313.54, DistUp, 114.56
, DistFront, 115.20, DistDow, 312.67, DistUp, 114.20
, DistFront, 114.27, DistDow, 316.50, DistUp, 114.06
, DistFront, 117.57, DistDow, 3239.06, DistUp, 114.30
, DistFront, 115.37, DistDow, 3269.78, DistUp, 114.39
, DistFront, 114.30, DistDow, 3245.03, DistUp, 114.17
, DistFront, 116.33, DistDow, 3271.48, DistUp, 114.46
, DistFront, 116.48, DistDow, 312.62, DistUp, 114.91
, DistFront, 115.14, DistDow, 313.96, DistUp, 114.03
, DistFront, 115.95, DistDow, 3271.05, DistUp, 114.78
, DistFront, 115.95, DistDow, 3276.38, DistUp, 114.42
, DistFront, 117.91, DistDow, 310.78, DistUp, 115.02
, DistFront, 118.69, DistDow, 3229.81, DistUp, 114.85
, DistFront, 116.34, DistDow, 3259.85, DistUp, 115.32
, DistFront, 115.46, DistDow, 3270.07, DistUp, 114.20
, DistFront, 116.60, DistDow, 3278.45, DistUp, 115.46
, DistFront, 115.31, DistDow, 3254.56, DistUp, 114.46
, DistFront, 114.69, DistDow, 313.03, DistUp, 114.54
, DistFront, 114.85, DistDow, 3251.19, DistUp, 114.78
, DistFrontMean, 115.54, DistDowMean, 3266.97, DistUpMean, 116.50
, DistFront, 118.16, DistDow, 3263.47, DistUp, 115.10
, DistFront, 119.00, DistDow, 3286.26, DistUp, 114.39
, DistFront, 114.85, DistDow, 3274.06, DistUp, 113.98
, DistFront, 116.56, DistDow, 3245.97, DistUp, 113.18
, DistFront, 116.04, DistDow, 3251.50, DistUp, 113.69
, DistFront, 116.11, DistDow, 3232.91, DistUp, 113.74
, DistFront, 115.20, DistDow, 3267.74, DistUp, 114.46
, DistFront, 115.17, DistDow, 3262.91, DistUp, 114.40
, DistFront, 115.02, DistDow, 314.78, DistUp, 113.40
, DistFront, 115.26, DistDow, 313.71, DistUp, 112.82
, DistFront, 117.87, DistDow, 3285.75, DistUp, 114.25
, DistFront, 115.83, DistDow, 3250.70, DistUp, 113.69
, DistFront, 115.78, DistDow, 3245.60, DistUp, 114.10
, DistFront, 116.12, DistDow, 312.70, DistUp, 113.25
, DistFront, 115.26, DistDow, 3272.35, DistUp, 113.84
, DistFront, 114.35, DistDow, 3239.97, DistUp, 113.20
, DistFront, 114.56, DistDow, 317.21, DistUp, 113.42
, DistFront, 114.47, DistDow, 315.56, DistUp, 112.02
, DistFront, 115.83, DistDow, 314.78, DistUp, 113.38
, DistFront, 114.52, DistDow, 3255.61, DistUp, 112.98
, DistFrontMean, 116.80, DistDowMean, 3256.85, DistUpMean, 115.10
, DistFront, 115.92, DistDow, 3234.71, DistUp, 112.91
, DistFront, 116.34, DistDow, 3262.38, DistUp, 113.20
, DistFront, 114.81, DistDow, 313.27, DistUp, 113.76
, DistFront, 118.28, DistDow, 3250.05, DistUp, 115.34
, DistFront, 117.64, DistDow, 3279.49, DistUp, 115.92
, DistFront, 118.11, DistDow, 3252.60, DistUp, 115.73
, DistFront, 117.64, DistDow, 3259.71, DistUp, 116.50
, DistFront, 118.40, DistDow, 3243.42, DistUp, 116.34
, DistFront, 117.45, DistDow, 3265.66, DistUp, 116.55
, DistFront, 117.04, DistDow, 3258.13, DistUp, 115.70
, DistFront, 117.96, DistDow, 3241.97, DistUp, 118.28
, DistFront, 116.41, DistDow, 3248.20, DistUp, 116.04
, DistFront, 116.68, DistDow, 3245.82, DistUp, 116.31
, DistFront, 117.45, DistDow, 3248.32, DistUp, 117.57
, DistFront, 119.56, DistDow, 3238.89, DistUp, 116.60
, DistFront, 118.32, DistDow, 3210.46, DistUp, 119.03
, DistFront, 116.70, DistDow, 3275.61, DistUp, 117.31
, DistFront, 117.96, DistDow, 3279.27, DistUp, 117.77
, DistFront, 116.62, DistDow, 3244.20, DistUp, 117.74
, DistFront, 116.97, DistDow, 3295.39, DistUp, 118.32
, DistFrontMean, 118.18, DistDowMean, 3234.90, DistUpMean, 118.89
, DistFront, 116.73, DistDow, 3261.19, DistUp, 117.06
, DistFront, 117.41, DistDow, 3247.41, DistUp, 118.64
, DistFront, 116.62, DistDow, 3259.40, DistUp, 120.82
, DistFront, 116.26, DistDow, 3265.70, DistUp, 120.63
, DistFront, 117.76, DistDow, 3263.03, DistUp, 118.76
, DistFront, 115.78, DistDow, 119.81, DistUp, 116.56
, DistFront, 116.02, DistDow, 3253.16, DistUp, 117.53
, DistFront, 115.66, DistDow, 3274.95, DistUp, 117.24
, DistFront, 116.26, DistDow, 3269.98, DistUp, 114.83
, DistFront, 116.02, DistDow, 119.49, DistUp, 115.03
, DistFront, 115.26, DistDow, 3223.35, DistUp, 114.78
, DistFront, 116.26, DistDow, 3267.52, DistUp, 116.45
, DistFront, 116.34, DistDow, 3261.80, DistUp, 115.63
, DistFront, 120.63, DistDow, 3266.33, DistUp, 116.12
, DistFront, 117.87, DistDow, 3258.04, DistUp, 117.70
, DistFront, 120.39, DistDow, 3264.85, DistUp, 116.67
, DistFront, 118.32, DistDow, 3238.23, DistUp, 116.46
, DistFront, 116.89, DistDow, 3275.54, DistUp, 116.82
, DistFront, 117.91, DistDow, 3296.60, DistUp, 116.85
, DistFront, 4.06, DistDow, 3275.63, DistUp, 116.96
, DistFrontMean, 117.41, DistDowMean, 3247.45, DistUpMean, 115.46
, DistFront, 115.82, DistDow, 3245.83, DistUp, 116.55
, DistFront, 115.34, DistDow, 3195.03, DistUp, 114.69
, DistFront, 115.56, DistDow, 3263.96, DistUp, 116.21
, DistFront, 115.41, DistDow, 3296.67, DistUp, 114.78
, DistFront, 116.68, DistDow, 3274.20, DistUp, 116.17
, DistFront, 119.13, DistDow, 3240.20, DistUp, 115.61
, DistFront, 115.46, DistDow, 3272.02, DistUp, 115.46
, DistFront, 115.70, DistDow, 3236.48, DistUp, 115.17
, DistFront, 116.77, DistDow, 3246.02, DistUp, 114.68
, DistFront, 116.82, DistDow, 3279.30, DistUp, 115.14
, DistFront, 117.33, DistDow, 3275.85, DistUp, 114.98
, DistFront, 115.68, DistDow, 3260.31, DistUp, 114.66
, DistFront, 115.17, DistDow, 3297.48, DistUp, 114.76
, DistFront, 115.75, DistDow, 3215.43, DistUp, 114.76
, DistFront, 115.90, DistDow, 3270.17, DistUp, 116.56
, DistFront, 116.21, DistDow, 3230.63, DistUp, 115.90
, DistFront, 115.02, DistDow, 3257.64, DistUp, 114.85
, DistFront, 116.62, DistDow, 3256.82, DistUp, 114.59
, DistFront, 115.83, DistDow, 311.55, DistUp, 114.59
, DistFront, 118.35, DistDow, 3253.71, DistUp, 114.66
, DistFrontMean, 115.83, DistDowMean, 3234.35, DistUpMean, 115.02
, DistFront, 116.92, DistDow, 3239.76, DistUp, 115.14
, DistFront, 118.55, DistDow, 309.78, DistUp, 114.88
, DistFront, 115.37, DistDow, 3274.74, DistUp, 115.99
, DistFront, 116.85, DistDow, 3252.02, DistUp, 115.19
, DistFront, 115.82, DistDow, 3264.18, DistUp, 115.24
, DistFront, 116.56, DistDow, 3221.68, DistUp, 115.68
, DistFront, 116.70, DistDow, 3267.69, DistUp, 115.66
, DistFront, 118.16, DistDow, 3252.91, DistUp, 115.46
, DistFront, 116.55, DistDow, 3271.05, DistUp, 115.56
, DistFront, 115.12, DistDow, 3250.20, DistUp, 115.77
, DistFront, 118.11, DistDow, 3283.20, DistUp, 118.16
, DistFront, 116.21, DistDow, 3275.12, DistUp, 115.31
, DistFront, 116.02, DistDow, 3238.78, DistUp, 116.50
, DistFront, 117.62, DistDow, 3261.70, DistUp, 116.17
