118.10, DistDow, 118.71, DistUp, 189.90106.85, DistDow, 118.59, DistUp, 3659.47
, DistFront, 106.46, DistDow, 119.10, DistUp, 3658.81
, DistFront, 107.09, DistDow, 118.84, DistUp, 3641.85
, DistFront, 106.84, DistDow, 119.05, DistUp, 3660.90
, DistFront, 106.56, DistDow, 120.10, DistUp, 3649.18
, DistFront, 106.26, DistDow, 119.34, DistUp, 3644.47
, DistFront, 106.67, DistDow, 119.30, DistUp, 3680.27
, DistFront, 107.28, DistDow, 119.98, DistUp, 3643.52
, DistFront, 107.40, DistDow, 120.14, DistUp, 169.00
, DistFront, 117.84, DistDow, 119.52, DistUp, 3.76
, DistFront, 117.28, DistDow, 119.39, DistUp, 3.76
, DistFront, 117.70, DistDow, 118.84, DistUp, 3.76
, DistFront, 116.96, DistDow, 118.49, DistUp, 3.67
, DistFront, 117.52, DistDow, 120.41, DistUp, 3.78
, DistFront, 117.24, DistDow, 118.83, DistUp, 3.67
, DistFront, 118.69, DistDow, 118.98, DistUp, 3.78
, DistFront, 118.61, DistDow, 120.03, DistUp, 3.64
, DistFrontMean, 118.91, DistDowMean, 120.10, DistUpMean, 3637.45
, DistFront, 117.87, DistDow, 119.39, DistUp, 3.76
, DistFront, 118.55, DistDow, 120.10, DistUp, 3.76
, DistFront, 119.25, DistDow, 121.67, DistUp, 3.76
, DistFront, 118.83, DistDow, 120.39, DistUp, 3662.31
, DistFront, 110.02, DistDow, 120.03, DistUp, 3629.47
, DistFront, 108.11, DistDow, 120.39, DistUp, 3649.52
, DistFront, 107.62, DistDow, 119.88, DistUp, 3628.28
, DistFront, 108.06, DistDow, 119.98, DistUp, 3655.61
, DistFront, 107.93, DistDow, 119.71, DistUp, 3659.69
, DistFront, 108.52, DistDow, 120.39, DistUp, 3651.31
, DistFront, 107.62, DistDow, 120.31, DistUp, 3663.45
, DistFront, 109.85, DistDow, 121.19, DistUp, 3660.24
, DistFront, 108.54, DistDow, 119.06, DistUp, 3667.45
, DistFront, 107.81, DistDow, 119.12, DistUp, 169.17
, DistFront, 118.25, DistDow, 119.30, DistUp, 3.76
, DistFront, 118.45, DistDow, 119.61, DistUp, 3.76
, DistFront, 119.06, DistDow, 120.26, DistUp, 3.76
, DistFront, 119.39, DistDow, 121.46, DistUp, 3.76
, DistFront, 119.42, DistDow, 3637.99, DistUp, 3.76
, DistFront, 120.82, DistDow, 3641.73, DistUp, 3.76
, DistFrontMean, 173.18, DistDowMean, 3686.46, DistUpMean, 3579.06
, DistFront, 3519.61, DistDow, 3602.60, DistUp, 3.67
, DistFront, 121.92, DistDow, 227.52, DistUp, 3.76
, DistFront, 118.42, DistDow, 3656.05, DistUp, 3.67
, DistFront, 118.69, DistDow, 3683.10, DistUp, 212.18
, DistFront, 117.96, DistDow, 120.75, DistUp, 3.76
, DistFront, 119.18, DistDow, 119.95, DistUp, 3.76
, DistFront, 118.89, DistDow, 120.82, DistUp, 3.67
, DistFront, 119.03, DistDow, 121.55, DistUp, 3.76
, DistFront, 119.39, DistDow, 120.54, DistUp, 3.76
, DistFront, 119.74, DistDow, 120.88, DistUp, 3.78
, DistFront, 118.83, DistDow, 120.41, DistUp, 3.76
, DistFront, 118.35, DistDow, 119.78, DistUp, 3.64
, DistFront, 117.84, DistDow, 119.49, DistUp, 3.78
, DistFront, 119.10, DistDow, 120.27, DistUp, 3.78
, DistFront, 119.34, DistDow, 120.19, DistUp, 3.76
, DistFront, 118.45, DistDow, 119.63, DistUp, 3.76
, DistFront, 118.64, DistDow, 119.76, DistUp, 3.76
, DistFront, 119.47, DistDow, 120.63, DistUp, 3.76
, DistFront, 118.35, DistDow, 120.34, DistUp, 3.76
, DistFront, 118.40, DistDow, 119.88, DistUp, 3.64
, DistFrontMean, 117.81, DistDowMean, 119.39, DistUpMean, 221.46
, DistFront, 118.59, DistDow, 119.71, DistUp, 222.99
, DistFront, 117.70, DistDow, 119.59, DistUp, 3628.33
, DistFront, 106.53, DistDow, 118.78, DistUp, 3661.99
, DistFront, 107.26, DistDow, 119.42, DistUp, 3637.77
, DistFront, 106.82, DistDow, 119.10, DistUp, 3666.04
, DistFront, 106.19, DistDow, 122.74, DistUp, 3653.33
, DistFront, 106.77, DistDow, 121.14, DistUp, 3639.47
, DistFront, 108.16, DistDow, 3700.54, DistUp, 3580.46
, DistFront, 118.59, DistDow, 3684.61, DistUp, 3561.85
, DistFront, 118.61, DistDow, 3640.49, DistUp, 3580.66
, DistFront, 107.89, DistDow, 3764.98, DistUp, 3599.40
, DistFront, 107.18, DistDow, 122.93, DistUp, 3657.76
, DistFront, 107.18, DistDow, 120.34, DistUp, 3658.67
, DistFront, 105.92, DistDow, 118.59, DistUp, 3639.30
, DistFront, 106.53, DistDow, 118.38, DistUp, 219.32
, DistFront,, DistFront, 57.96, DistDow, 59.40, DistUp, 74.78
4.10
 3.76
DistDow, 118.55, DistUp, 3659.71
, DistFront, 107.62, DistDow, 119.95, DistUp, 3623.89
, DistFront, 118.40, DistDow, 119.56, DistUp, 3662.77
, DistFront, 109.30, DistDow, 118.89, DistUp, 3627.04
, DistFront, 107.76, DistDow, 119.10, DistUp, 3677.41
, DistFront, 108.55, DistDow, 119.90, DistUp, 223.28
, DistFront, 117.87, DistDow, 119.47, DistUp, 3662.81
, DistFront, 106.48, DistDow, 119.06, DistUp, 3659.18
, DistFront, 106.28, DistDow, 119.74, DistUp, 219.98
, DistFront, 118.62, DistDow, 119.00, DistUp, 220.48
, DistFront, 118.54, DistDow, 120.14, DistUp, 3.76
, DistFront, 117.99, DistDow, 119.66, DistUp, 3.76
, DistFront, 118.45, DistDow, 119.97, DistUp, 3.76
, DistFront, 118.55, DistDow, 119.10, DistUp, 3632.09
, DistFront, 108.11, DistDow, 120.19, DistUp, 3668.28
, DistFront, 107.02, DistDow, 119.95, DistUp, 3645.34
, DistFront, 106.97, DistDow, 119.47, DistUp, 166.70
, DistFront, 117.47, DistDow, 121.14, DistUp, 3627.93
, DistFront, 106.46, DistDow, 120.32, DistUp, 3644.97
, DistFront, 106.56, DistDow, 120.14, DistUp, 167.40
, DistFront, 118.35, DistDow, 3617.60, DistUp, 3.76
, DistFront, 118.55, DistDow, 121.34, DistUp, 3.76
, DistFrontMean, 118.47, DistDowMean, 122.19, DistUpMean, 167.11
, DistFront, 117.70, DistDow, 122.21, DistUp, 167.91
, DistFront, 118.25, DistDow, 121.96, DistUp, 3.76
, DistFront, 117.91, DistDow, 121.14, DistUp, 3.76
, DistFront, 117.06, DistDow, 119.91, DistUp, 3.76
, DistFront, 117.40, DistDow, 120.24, DistUp, 3.76
, DistFront, 117.53, DistDow, 119.54, DistUp, 3.78
, DistFront, 119.23, DistDow, 118.98, DistUp, 3.67
, DistFront, 117.76, DistDow, 118.76, DistUp, 3.78
, DistFront, 118.78, DistDow, 118.64, DistUp, 3.76
, DistFront, 118.13, DistDow, 119.30, DistUp, 3.76
, DistFront, 117.13, DistDow, 118.88, DistUp, 3.76
, DistFront, 117.09, DistDow, 118.74, DistUp, 220.48
, DistFront, 117.24, DistDow, 119.05, DistUp, 3.78
, DistFront, 118.25, DistDow, 119.13, DistUp, 3.78
, DistFront, 117.60, DistDow, 120.26, DistUp, 3.76
, DistFront, 118.95, DistDow, 119.40, DistUp, 3.76
, DistFront, 118.64, DistDow, 119.56, DistUp, 3.78
, DistFront, 118.98, DistDow, 119.42, DistUp, 3.78
, DistFront, 117.93, DistDow, 121.46, DistUp, 3.76
