64, DistUp, 157.02,walk
speeds:,15.37, DistFront, 61.50, DistDow, 63.52, DistUp, 63.03
, DistFront, 61.55, DistDow, 63.27, DistUp, 63.52
, DistFront, 61.60, DistDow, 63.32, DistUp, 63.27
, DistFront, 61.99, DistDow, 63.35, DistUp, 63.38
, DistFront, 61.68, DistDow, 64.23, DistUp, 64.32
, DistFront, 62.16, DistDow, 63.55, DistUp, 64.03
, DistFront, 62.35, DistDow, 63.61, DistUp, 64.40
, DistFront, 62.41, DistDow, 63.67, DistUp, 63.67
, DistFront, 62.53, DistDow, 63.78, DistUp, 63.35
, DistFront, 62.16, DistDow, 63.40, DistUp, 64.20
, DistFront, 62.21, DistDow, 64.17, DistUp, 64.74
, DistFront, 62.11, DistDow, 64.17, DistUp, 64.32
, DistFront, 62.11, DistDow, 64.17, DistUp, 64.32
, DistFront, 62.13, DistDow, 63.76, DistUp, 64.39
, DistFront, 62.06, DistDow, 63.32, DistUp, 63.91
, DistFront, 62.02, DistDow, 63.27, DistUp, 63.89
, DistFront, 61.97, DistDow, 63.23, DistUp, 63.83
, DistFront, 62.33, DistDow, 63.61, DistUp, 64.18
, DistFrontMean, 61.90, DistDowMean, 64.00, DistUpMean, 63.62
, DistFront, 62.41, DistDow, 63.25, DistUp, 63.27
, DistFront, 61.82, DistDow, 63.16, DistUp, 64.03
, DistFront, 61.70, DistDow, 63.52, DistUp, 63.55
, DistFront, 61.68, DistDow, 63.35, DistUp, 63.47
, DistFront, 61.56, DistDow, 62.84, DistUp, 63.27
, DistFront, 61.50, DistDow, 63.61, DistUp, 63.62
, DistFront, 61.85, DistDow, 62.70, DistUp, 62.77
, DistFront, 61.53, DistDow, 63.52, DistUp, 63.11
, DistFront, 61.48, DistDow, 63.16, DistUp, 63.52
, DistFront, 61.77, DistDow, 62.70, DistUp, 63.18
, DistFront, 61.33, DistDow, 62.55, DistUp, 62.64
, DistFront, 61.28, DistDow, 63.35, DistUp, 63.42
, DistFront, 61.73, DistDow, 62.55, DistUp, 62.98
, DistFront, 61.75, DistDow, 62.55, DistUp, 63.47
, DistFront, 61.56, DistDow, 62.87, DistUp, 63.04
, DistFront, 61.19, DistDow, 63.25, DistUp, 62.91
, DistFront, 61.28, DistDow, 62.40, DistUp, 62.91
, DistFront, 61.28, DistDow, 62.52, DistUp, 63.03
, DistFront, 61.17, DistDow, 62.81, DistUp, 63.04
, DistFront, 61.56, DistDow, 62.81, DistUp, 62.93
, DistFrontMean, 61.26, DistDowMean, 62.89, DistUpMean, 63.04
, DistFront, 61.14, DistDow, 62.81, DistUp, 62.93
, DistFront, 61.28, DistDow, 62.91, DistUp, 62.93
, DistFront, 61.28, DistDow, 63.35, DistUp, 63.04
, DistFront, 61.19, DistDow, 63.28, DistUp, 63.03
, DistFront, 61.17, DistDow, 63.27, DistUp, 62.93
, DistFront, 61.56, DistDow, 63.27, DistUp, 62.93
, DistFront, 61.28, DistDow, 62.40, DistUp, 62.93
, DistFront, 61.28, DistDow, 62.52, DistUp, 63.04
, DistFront, 61.60, DistDow, 62.41, DistUp, 62.62
, DistFront, 61.56, DistDow, 62.41, DistUp, 63.33
, DistFront, 61.63, DistDow, 63.23, DistUp, 63.33
, DistFront, 61.24, DistDow, 63.32, DistUp, 63.33
, DistFront, 61.24, DistDow, 62.87, DistUp, 63.83
, DistFront, 61.12, DistDow, 62.35, DistUp, 62.98
, DistFront, 61.53, DistDow, 62.35, DistUp, 62.89
, DistFront, 61.19, DistDow, 63.27, DistUp, 63.27
, DistFront, 61.19, DistDow, 62.40, DistUp, 62.93
, DistFront, 61.09, DistDow, 62.31, DistUp, 62.82
, DistFront, 61.48, DistDow, 62.70, DistUp, 62.82
, DistFront, 61.53, DistDow, 62.82, DistUp, 63.62
, DistFrontMean, 61.46, DistDowMean, 62.28, DistUpMean, 62.77
, DistFront, 61.53, DistDow, 62.81, DistUp, 62.89
, DistFront, 61.04, DistDow, 62.26, DistUp, 63.18
, DistFront, 60.99, DistDow, 62.67, DistUp, 63.59
, DistFront, 61.09, DistDow, 63.18, DistUp, 62.74
, DistFront, 60.99, DistDow, 63.16, DistUp, 62.84
, DistFront, 61.39, DistDow, 62.62, DistUp, 62.67
, DistFront, 61.39, DistDow, 62.62, DistUp, 62.69
, DistFront, 61.04, DistDow, 62.31, DistUp, 62.81
, DistFront, 61.04, DistDow, 63.11, DistUp, 62.62
, DistFront, 61.04, DistDow, 62.70, DistUp, 63.20
, DistFront, 60.92, DistDow, 62.60, DistUp, 62.74
, DistFront, 60.95, DistDow, 62.62, DistUp, 63.10
, DistFront, 61.04, DistDow, 62.60, DistUp, 63.10
, DistFront, 61.05, DistDow, 62.31, DistUp, 62.81
, DistFront, 61.39, DistDow, 62.21, DistUp, 62.40
, DistFront, 61.41, DistDow, 62.67, DistUp, 62.69
, DistFront, 61.11, DistDow, 62.26, DistUp, 62.35
, DistFront, 61.14, DistDow, 63.23, DistUp, 63.28
, DistFront, 61.09, DistDow, 62.31, DistUp, 63.25
, DistFront, 61.60, DistDow, 62.47, DistUp, 62.96
, DistFrontMean, 61.24, DistDowMean, 62.38, DistUpMean, 62.89
, DistFront, 61.56, DistDow, 63.25, DistUp, 63.74
, DistFront, 61.31, DistDow, 62.41, DistUp, 62.93
, DistFront, 61.34, DistDow, 62.55, DistUp, 63.11
, DistFront, 61.68, DistDow, 62.52, DistUp, 62.69
, DistFront, 61.31, DistDow, 62.52, DistUp, 63.52
, DistFront, 61.39, DistDow, 63.47, DistUp, 63.11
, DistFront, 61.34, DistDow, 62.57, DistUp, 63.25
, DistFront, 61.34, DistDow, 62.57, DistUp, 63.61
, DistFront, 61.46, DistDow, 63.42, DistUp, 63.23
, DistFront, 61.80, DistDow, 63.13, DistUp, 63.28
, DistFront, 61.41, DistDow, 62.62, DistUp, 63.64
, DistFront, 61.84, DistDow, 62.62, DistUp, 63.27
, DistFront, 61.55, DistDow, 63.49, DistUp, 63.25
, DistFront, 61.55, DistDow, 62.77, DistUp, 63.81
, DistFront, 61.46, DistDow, 62.67, DistUp, 63.69
, DistFront, 61.46, DistDow, 62.67, DistUp, 63.69
, DistFront, 61.55, DistDow, 62.69, DistUp, 63.25
, DistFront, 61.46, DistDow, 63.61, DistUp, 63.38
, DistFront, 61.41, DistDow, 63.06, DistUp, 63.33
, DistFront, 61.84, DistDow, 62.64, DistUp, 63.23
, DistFrontMean, 61.39, DistDowMean, 62.62, DistUpMean, 63.74
, DistFront, 61.50, DistDow, 63.42, DistUp, 63.18
, DistFront, 61.46, DistDow, 63.11, DistUp, 63.69
, DistFront, 61.34, DistDow, 63.40, DistUp, 63.13
, DistFront, 61.70, DistDow, 63.40, DistUp, 63.11
, DistFront, 61.41, DistDow, 63.06, DistUp, 63.10
, DistFront, 61.31, DistDow, 63.47, DistUp, 63.13
, DistFront, 61.24, DistDow, 62.48, DistUp, 63.03
, DistFront, 61.34, DistDow, 62.48, DistUp, 62.96
, DistFront, 61.19, DistDow, 63.38, DistUp, 63.04
, DistFront, 61.19, DistDow, 62.41, DistUp, 62.91
, DistFront, 61.63, DistDow, 62.96, DistUp, 62.91
, DistFront, 61.21, DistDow, 62.89, DistUp, 62.96
, DistFront, 61.11, DistDow, 63.18, DistUp, 62.84
, DistFront, 61.14, DistDow, 63.25, DistUp, 62.82
, DistFront, 61.02, DistDow, 63.11, DistUp, 62.47
, DistFront, 60.99, DistDow, 62.21, DistUp, 62.74
, DistFront, 60.95, DistDow, 62.69, DistUp, 62.82
, DistFront, 60.90, DistDow, 62.60, DistUp, 62.67
, DistFront, 61.02, DistDow, 62.64, DistUp, 63.20
, DistFront, 61.31, DistDow, 62.53, DistUp, 62.62
, DistFrontMean, 61.02, DistDowMean, 62.62, DistUpMean, 62.33
, DistFront, 61.39, DistDow, 62.11, DistUp, 62.62
, DistFront, 61.24, DistDow, 62.06, DistUp, 62.69
, DistFront, 60.90, DistDow, 62.04, DistUp, 62.57
, DistFront, 61.21, DistDow, 61.99, DistUp, 62.62
, DistFront, 60.88, DistDow, 62.41, DistUp, 62.52
, DistFront, 60.73, DistDow, 62.40, DistUp, 62.06
, DistFront, 60.75, DistDow, 61.97, DistUp, 62.55
, DistFront, 60.83, DistDow, 62.38, DistUp, 63.28
, DistFront, 61.14, DistDow, 62.09, DistUp, 62.18
, DistFront, 61.26, DistDow, 61.97, DistUp, 62.47
, DistFront, 60.75, DistDow, 62.82, DistUp, 62.55
, DistFront, 61.26, DistDow, 62.84, DistUp, 62.06
, DistFront, 61.14, DistDow, 62.82, DistUp, 62.57
, DistFront, 60.83, DistDow, 62.09, DistUp, 62.47
, DistFront, 61.14, DistDow, 61.99, DistUp, 62.87
, DistFront, 61.26, DistDow, 62.09, DistUp, 62.57
, DistFront, 60.75, DistDow, 61.99, DistUp, 62.47
, DistFront, 60.83, DistDow, 62.09, DistUp, 62.47
, DistFront, 60.73, DistDow, 61.97, DistUp, 62.47
, DistFront, 60.85, DistDow, 62.09, DistUp, 62.47
, DistFrontMean, 61.24, DistDowMean, 62.41, DistUpMean, 62.47
, DistFront, 61.55, DistDow, 62.40, DistUp, 62.47
, DistFront, 60.83, DistDow, 62.09, DistUp, 62.09
, DistFront, 61.12, DistDow, 62.82, DistUp, 62.57
, DistFront, 60.85, DistDow, 62.41, DistUp, 62.93
, DistFront, 60.77, DistDow, 62.02, DistUp, 62.11
, DistFront, 61.75, DistDow, 62.60, DistUp, 62.52
, DistFront, 60.83, DistDow, 62.09, DistUp, 62.67
, DistFront, 61.39, DistDow, 62.93, DistUp, 62.62
, DistFront, 60.92, DistDow, 62.21, DistUp, 63.18
, DistFront, 60.92, DistDow, 62.60, DistUp, 62.67
, DistFront, 61.90, DistDow, 63.13, DistUp, 62.70
, DistFront, 60.99, DistDow, 62.24, DistUp, 63.18
, DistFront, 61.14, DistDow, 62.69, DistUp, 63.23
