 DistFrontMean, DistDowMean, DistUpMean,Distancia MiniMax,
113.11,114.54,117.62,ObstDistMax120cm,0
113.47,115.17,115.17,ObstDistMax120cm,0
117.38,118.1,121.05,ObstDistMax120cm,0
117.76,118.96,122.26,ObstDistMax120cm,0
116.97,117.6,119.61,ObstDistMax120cm,0
116.05,117.35,118.45,ObstDistMax120cm,0
117.21,118.55,119.95,ObstDistMax120cm,0
117.26,118.04,119.59,ObstDistMax120cm,0
116.33,119.35,118.64,ObstDistMax120cm,0
117.45,117.4,121.9,ObstDistMax120cm,0
117.16,117.96,119.05,ObstDistMax120cm,0
117.76,120.31,120.17,ObstDistMax120cm,0
117.76,118.49,120.54,ObstDistMax120cm,0
116.14,118.16,121.41,ObstDistMax120cm,0
115.37,116.12,117.7,ObstDistMax120cm,0
116.31,117.13,118.69,ObstDistMax120cm,0
114.85,116.48,117.76,ObstDistMax120cm,0
114.76,116.53,117.6,ObstDistMax120cm,0
116.02,117.57,119.3,ObstDistMax120cm,0
114.27,114.98,117.53,ObstDistMax120cm,0
114.49,115.17,117.57,ObstDistMax120cm,0
115.05,115.78,117.55,ObstDistMax120cm,0
114.03,114.83,116.73,ObstDistMax120cm,0
115.05,116.17,119.81,ObstDistMax120cm,0
114.91,115.2,116.28,ObstDistMax120cm,0
117.11,118.33,119.95,ObstDistMax120cm,0
117.24,118.45,120.53,ObstDistMax120cm,0
116.97,117.6,123.03,ObstDistMax120cm,0
116.11,116.84,117.84,ObstDistMax120cm,0
115.82,117.98,119.49,ObstDistMax120cm,0
116.39,117.96,118.62,ObstDistMax120cm,0
116.5,117.21,119.74,ObstDistMax120cm,0
115.95,116.8,120.1,ObstDistMax120cm,0
116.5,117.6,122.24,ObstDistMax120cm,0
117.06,118.13,119.74,ObstDistMax120cm,0
116.45,117.69,119.25,ObstDistMax120cm,0
116.55,118.2,119.4,ObstDistMax120cm,0
116.9,119.06,119.81,ObstDistMax120cm,0
116.9,118.96,119.74,ObstDistMax120cm,0
117.31,117.7,120.99,ObstDistMax120cm,0
116.39,117.57,119.18,ObstDistMax120cm,0
116.14,117.93,119.35,ObstDistMax120cm,0
115.78,117.06,119.05,ObstDistMax120cm,0
116.75,117.06,119.12,ObstDistMax120cm,0
117.21,118.28,119.49,ObstDistMax120cm,0
117.4,117.62,120.26,ObstDistMax120cm,0
116.77,118.52,122.18,ObstDistMax120cm,0
116.56,117.62,119.3,ObstDistMax120cm,0
116.7,117.04,118.59,ObstDistMax120cm,0
115.2,117.21,120.39,ObstDistMax120cm,0
116.96,119.46,123.11,ObstDistMax120cm,0
116.55,117.74,120.7,ObstDistMax120cm,0
117.09,118.74,123.78,ObstDistMax120cm,0
116.8,117.98,119.66,ObstDistMax120cm,0
116.55,117.7,119,ObstDistMax120cm,0
116.85,117.87,119.3,ObstDistMax120cm,0
115.9,117.38,120.75,ObstDistMax120cm,0
114,114.68,116.89,ObstDistMax120cm,0
61.04,63.32,64.25,ObstDistMin60cm ,1
60.12,61.92,62.6,ObstDistMin60cm ,1
59.83,61.24,61.6,ObstDistMin60cm ,1
62.31,64.39,63.06,ObstDistMin60cm ,1
62.89,65.24,64.25,ObstDistMin60cm ,1
62.7,65.1,64.71,ObstDistMin60cm ,1
62.33,64.61,65.02,ObstDistMin60cm ,1
61.75,64.12,65.12,ObstDistMin60cm ,1
62.82,65.1,64.97,ObstDistMin60cm ,1
63.04,64.34,66.53,ObstDistMin60cm ,1
62.93,64.27,66.05,ObstDistMin60cm ,1
62.24,64.61,64.47,ObstDistMin60cm ,1
62.18,64.4,62.47,ObstDistMin60cm ,1
65.24,67.33,65.32,ObstDistMin60cm ,1
59.46,61.89,59.85,ObstDistMin60cm ,1
56.82,58.96,59.61,ObstDistMin60cm ,1
58.78,61.04,60.85,ObstDistMin60cm ,1
60.78,62.57,62.6,ObstDistMin60cm ,1
62.16,63.04,64.12,ObstDistMin60cm ,1
63.25,64.85,66.28,ObstDistMin60cm ,1
61.41,63.27,62.89,ObstDistMin60cm ,1
61.02,62.35,64.3,ObstDistMin60cm ,1
59.91,61.75,62.45,ObstDistMin60cm ,1
60.19,63.23,62.09,ObstDistMin60cm ,1
61.41,62.57,65.05,ObstDistMin60cm ,1
59.9,62.28,61.85,ObstDistMin60cm ,1
61.92,64.78,62.47,ObstDistMin60cm ,1
62.38,64.69,63.81,ObstDistMin60cm ,1
62.87,64.81,64.03,ObstDistMin60cm ,1
63.95,65.97,65.88,ObstDistMin60cm ,1
64.2,66.53,65.63,ObstDistMin60cm ,1
65.07,67.52,65.7,ObstDistMin60c,1
63.61,65.46,64.4,ObstDistMin60cm ,1
62.38,64.85,63.32,ObstDistMin60cm ,1
62.26,65.12,62.41,ObstDistMin60cm ,1
63.11,65.19,63.59,ObstDistMin60cm ,1
64.63,66.73,65.07,ObstDistMin60cm ,1
64.88,67.69,65.49,ObstDistMin60cm ,1
62.21,65.12,63.18,ObstDistMin60cm ,1
59.97,63.25,60.97,ObstDistMin60cm ,1
65.46,69.46,65.46,ObstDistMin60cm ,1
