 DistFront,98.49, DistDow,116.34, DistUp,115.48,ObstDistMax120cm ,,,
 DistFront,114.49, DistDow,113.55, DistUp,117.21,ObstDistMax120cm ,,,
 DistFront,100.61, DistDow,112.31, DistUp,116.02,ObstDistMax120cm ,,,
 DistFront,114.32, DistDow,115.43, DistUp,3.64,ObstDistMax120cm ,,,
 DistFront,114.61, DistDow,116.39, DistUp,3.64,ObstDistMax120cm ,,,
 DistFront,113.47, DistDow,115.41, DistUp,4.18,ObstDistMax120cm ,,,
 DistFront,113.47, DistDow,114.47, DistUp,474.42,ObstDistMax120cm ,,,
 DistFront,113.42, DistDow,115.2, DistUp,168.55,ObstDistMax120cm ,,,
 DistFront,113.78, DistDow,113.52, DistUp,475.31,ObstDistMax120cm ,,,
 DistFront,114.34, DistDow,115.43, DistUp,477.96,ObstDistMax120cm ,,,
 DistFront,114.1, DistDow,113.11, DistUp,3.74,ObstDistMax120cm ,,,
 DistFront,113.96, DistDow,113.38, DistUp,2.93,ObstDistMax120cm ,,,
 DistFront,102.28, DistDow,114.81, DistUp,4.17,ObstDistMax120cm ,,,
 DistFront,103.78, DistDow,114.59, DistUp,2.6,ObstDistMax120cm ,,,
 DistFront,104.95, DistDow,115.48, DistUp,3.28,ObstDistMax120cm ,,,
 DistFront,104.59, DistDow,114.61, DistUp,3.28,ObstDistMax120cm ,,,
 DistFront,100.7, DistDow,115.49, DistUp,3.16,ObstDistMax120cm ,,,
 DistFront,103.33, DistDow,115.48, DistUp,3.18,ObstDistMax120cm ,,,
 DistFront,106.39, DistDow,115.53, DistUp,3.2,ObstDistMax120cm ,,,
 DistFrontMean,114.85, DistDowMean,114.63, DistUpMean,3.67,ObstDistMax120cm,,,
 DistFront,114.42, DistDow,114.3, DistUp,4,ObstDistMax120cm ,,,
 DistFront,102.98, DistDow,112.93, DistUp,5.2,ObstDistMax120cm ,,,
 DistFront,103.32, DistDow,115.17, DistUp,4.49,ObstDistMax120cm ,,,
 DistFront,103.11, DistDow,115.27, DistUp,4.63,ObstDistMax120cm ,,,
 DistFront,115.27, DistDow,114.69, DistUp,3.28,ObstDistMax120cm ,,,
 DistFront,102.82, DistDow,115.17, DistUp,3.62,ObstDistMax120cm ,,,
 DistFront,108.33, DistDow,115.46, DistUp,3.18,ObstDistMax120cm ,,,
 DistFront,114.78, DistDow,114.13, DistUp,3.54,ObstDistMax120cm ,,,
 DistFront,108.04, DistDow,115.34, DistUp,2.77,ObstDistMax120cm ,,,
 DistFront,105.12, DistDow,113.28, DistUp,3.25,ObstDistMax120cm ,,,
 DistFront,105.39, DistDow,113.83, DistUp,2.93,ObstDistMax120cm ,,,
 DistFront,105.53, DistDow,114.74, DistUp,2.91,ObstDistMax120cm ,,,
 DistFront,104.27, DistDow,115.53, DistUp,2.89,ObstDistMax120cm ,,,
 DistFront,105.07, DistDow,115.14, DistUp,2.55,ObstDistMax120cm ,,,
 DistFront,105.41, DistDow,114.88, DistUp,2.96,ObstDistMax120cm ,,,
 DistFront,104.69, DistDow,115.27, DistUp,2.93,ObstDistMax120cm ,,,
 DistFront,103.84, DistDow,113.98, DistUp,3.33,ObstDistMax120cm ,,,
 DistFront,103.89, DistDow,114.49, DistUp,2.89,ObstDistMax120cm ,,,
 DistFront,104.32, DistDow,113.55, DistUp,3.28,ObstDistMax120cm ,,,
 DistFront,103.67, DistDow,114.47, DistUp,4.03,ObstDistMax120cm ,,,
 DistFrontMean,114.61, DistDowMean,114.95, DistUpMean,3.33,ObstDistMax120cm,,,
 DistFront,115.02, DistDow,114.49, DistUp,4.3,ObstDistMax120cm ,,,
 DistFront,104.42, DistDow,110.54, DistUp,3.42,ObstDistMax120cm ,,,
 DistFront,104.18, DistDow,116.31, DistUp,3.59,ObstDistMax120cm ,,,
 DistFront,104.03, DistDow,114.81, DistUp,2.84,ObstDistMax120cm ,,,
 DistFront,106.77, DistDow,115.7, DistUp,3.13,ObstDistMax120cm ,,,
 DistFront,111.04, DistDow,116.19, DistUp,2.98,ObstDistMax120cm ,,,
 DistFront,107.04, DistDow,115.27, DistUp,3.84,ObstDistMax120cm ,,,
 DistFront,107.19, DistDow,115.83, DistUp,3.83,ObstDistMax120cm ,,,
 DistFront,105.05, DistDow,114.88, DistUp,3.4,ObstDistMax120cm ,,,
